m,likelihood
1.387998088880578740e+00,1.000000000000000000e+00
1.388313643532934405e+00,1.000000000000000000e+00
1.388745800857142942e+00,1.000000000000000000e+00
1.388734855182283345e+00,1.000000000000000000e+00
1.388521623801102445e+00,1.000000000000000000e+00
1.388579377516282021e+00,1.000000000000000000e+00
1.388723464661298701e+00,1.000000000000000000e+00
1.388577313662034074e+00,1.000000000000000000e+00
1.388571156789180083e+00,1.000000000000000000e+00
1.388737645655814923e+00,1.000000000000000000e+00
1.388575747977582431e+00,1.000000000000000000e+00
1.388745376154870703e+00,1.000000000000000000e+00
1.388749239700831861e+00,1.000000000000000000e+00
1.388687899357877509e+00,1.000000000000000000e+00
1.388584894371441614e+00,1.000000000000000000e+00
1.388628911382919329e+00,1.000000000000000000e+00
1.388540495786415807e+00,1.000000000000000000e+00
1.388593558078686119e+00,1.000000000000000000e+00
1.388420989446708331e+00,1.000000000000000000e+00
1.388433766060657160e+00,1.000000000000000000e+00
1.388546809342499300e+00,1.000000000000000000e+00
1.388571974798566089e+00,1.000000000000000000e+00
1.388568842014301863e+00,1.000000000000000000e+00
1.388465749261841076e+00,1.000000000000000000e+00
1.388474302137914673e+00,1.000000000000000000e+00
1.388525704593926102e+00,1.000000000000000000e+00
1.388503725395575650e+00,1.000000000000000000e+00
1.388620454539850391e+00,1.000000000000000000e+00
1.388552613860455143e+00,1.000000000000000000e+00
1.388766568677753721e+00,1.000000000000000000e+00
1.388685058591465848e+00,1.000000000000000000e+00
1.388593211237109326e+00,1.000000000000000000e+00
1.388811003255734811e+00,1.000000000000000000e+00
1.388441987347084572e+00,1.000000000000000000e+00
1.388652625537442731e+00,1.000000000000000000e+00
1.388260634172662655e+00,1.000000000000000000e+00
1.388795891833807916e+00,1.000000000000000000e+00
1.388641904431044960e+00,1.000000000000000000e+00
1.388709957829102004e+00,1.000000000000000000e+00
1.388913835620302795e+00,1.000000000000000000e+00
1.388655916795459522e+00,1.000000000000000000e+00
1.388848914692490943e+00,1.000000000000000000e+00
1.388473235722106125e+00,1.000000000000000000e+00
1.388766134259893148e+00,1.000000000000000000e+00
1.388471324726987755e+00,1.000000000000000000e+00
1.388759279803662761e+00,1.000000000000000000e+00
1.388727811612376017e+00,1.000000000000000000e+00
1.388382013493673517e+00,1.000000000000000000e+00
1.388562173097206420e+00,1.000000000000000000e+00
1.388822609938413555e+00,1.000000000000000000e+00
1.388057679485716012e+00,1.000000000000000000e+00
1.388754375706604094e+00,1.000000000000000000e+00
1.388460536172866577e+00,1.000000000000000000e+00
1.388555618539756065e+00,1.000000000000000000e+00
1.388496865033303607e+00,1.000000000000000000e+00
1.388314498070414738e+00,1.000000000000000000e+00
1.388169631617454991e+00,1.000000000000000000e+00
1.388247181747455095e+00,1.000000000000000000e+00
1.388904378055191291e+00,1.000000000000000000e+00
1.388698591425208129e+00,1.000000000000000000e+00
1.388728034088732466e+00,1.000000000000000000e+00
1.388311793729388510e+00,1.000000000000000000e+00
1.388842381687972471e+00,1.000000000000000000e+00
1.388915922375161038e+00,1.000000000000000000e+00
1.388472907678434787e+00,1.000000000000000000e+00
1.388691785421717118e+00,1.000000000000000000e+00
1.388575507174425017e+00,1.000000000000000000e+00
1.388460047324331592e+00,1.000000000000000000e+00
1.388628968922595686e+00,1.000000000000000000e+00
1.388734387538821391e+00,1.000000000000000000e+00
1.388551456176748911e+00,1.000000000000000000e+00
1.388515199534114286e+00,1.000000000000000000e+00
1.388370111462450929e+00,1.000000000000000000e+00
1.388772695880677421e+00,1.000000000000000000e+00
1.388725944689242819e+00,1.000000000000000000e+00
1.389084021349354936e+00,1.000000000000000000e+00
1.388934813702689341e+00,1.000000000000000000e+00
1.388777811044274113e+00,1.000000000000000000e+00
1.388467435380525972e+00,1.000000000000000000e+00
1.388507609189075565e+00,1.000000000000000000e+00
1.388749527460544142e+00,1.000000000000000000e+00
1.388432547530278782e+00,1.000000000000000000e+00
1.388699172435356566e+00,1.000000000000000000e+00
1.388996732067871998e+00,1.000000000000000000e+00
1.388606841871329323e+00,1.000000000000000000e+00
1.388602943888864516e+00,1.000000000000000000e+00
1.388718300454149235e+00,1.000000000000000000e+00
1.388624405778374760e+00,1.000000000000000000e+00
1.388584208740208492e+00,1.000000000000000000e+00
1.388559841492475133e+00,1.000000000000000000e+00
1.388744722068128157e+00,1.000000000000000000e+00
1.388602647592282135e+00,1.000000000000000000e+00
1.388388568226876840e+00,1.000000000000000000e+00
1.388705787835496919e+00,1.000000000000000000e+00
1.388914291552193037e+00,1.000000000000000000e+00
1.388679689305152953e+00,1.000000000000000000e+00
1.388822350585230403e+00,1.000000000000000000e+00
1.388529863474451176e+00,1.000000000000000000e+00
1.388595557662219093e+00,1.000000000000000000e+00
1.388551662843643175e+00,1.000000000000000000e+00
