m,likelihood
1.344961166682683951e+00,1.000000000000000000e+00
1.361245685144198525e+00,1.000000000000000000e+00
1.350230268089316121e+00,1.000000000000000000e+00
1.365447118263585002e+00,1.000000000000000000e+00
1.376572430575505823e+00,1.000000000000000000e+00
1.351177964837689149e+00,1.000000000000000000e+00
1.358670954369005202e+00,1.000000000000000000e+00
1.359745127931769160e+00,1.000000000000000000e+00
1.362826206377296234e+00,1.000000000000000000e+00
1.357709078190818319e+00,1.000000000000000000e+00
1.362160485729748904e+00,1.000000000000000000e+00
1.371361180408330327e+00,1.000000000000000000e+00
1.354994573654218604e+00,1.000000000000000000e+00
1.361894106636815094e+00,1.000000000000000000e+00
1.350128160970592628e+00,1.000000000000000000e+00
1.357446655208281339e+00,1.000000000000000000e+00
1.356114130793931061e+00,1.000000000000000000e+00
1.342031022240937066e+00,1.000000000000000000e+00
1.349766582679541749e+00,1.000000000000000000e+00
1.354499451852189562e+00,1.000000000000000000e+00
1.361007695162963271e+00,1.000000000000000000e+00
1.342339220958251644e+00,1.000000000000000000e+00
1.346589070075523420e+00,1.000000000000000000e+00
1.363632658045570434e+00,1.000000000000000000e+00
1.359820097638585246e+00,1.000000000000000000e+00
1.359120182287049339e+00,1.000000000000000000e+00
1.360904477127941270e+00,1.000000000000000000e+00
1.348901499740666532e+00,1.000000000000000000e+00
1.358154850341294129e+00,1.000000000000000000e+00
1.351675232358219070e+00,1.000000000000000000e+00
1.357487666798690151e+00,1.000000000000000000e+00
1.357050942117992154e+00,1.000000000000000000e+00
1.356118661735712161e+00,1.000000000000000000e+00
1.347296110926109236e+00,1.000000000000000000e+00
1.362822343347806164e+00,1.000000000000000000e+00
1.355209758204988679e+00,1.000000000000000000e+00
1.360706971008794230e+00,1.000000000000000000e+00
1.343272381134747340e+00,1.000000000000000000e+00
1.341291913738146935e+00,1.000000000000000000e+00
1.350834934965230438e+00,1.000000000000000000e+00
1.361096717575862369e+00,1.000000000000000000e+00
1.359603846422118734e+00,1.000000000000000000e+00
1.358992145058567358e+00,1.000000000000000000e+00
1.358674148479865229e+00,1.000000000000000000e+00
1.347932080477237893e+00,1.000000000000000000e+00
1.354987915170450030e+00,1.000000000000000000e+00
1.365202632256150128e+00,1.000000000000000000e+00
1.373822296430202927e+00,1.000000000000000000e+00
1.343216410457425125e+00,1.000000000000000000e+00
1.363510860469981045e+00,1.000000000000000000e+00
1.371889171961292897e+00,1.000000000000000000e+00
1.367669800383769507e+00,1.000000000000000000e+00
1.365568723127742468e+00,1.000000000000000000e+00
1.367944840874135037e+00,1.000000000000000000e+00
1.344360500480698439e+00,1.000000000000000000e+00
1.371106026508056575e+00,1.000000000000000000e+00
1.348992478286133556e+00,1.000000000000000000e+00
1.359779467132799180e+00,1.000000000000000000e+00
1.364381343199525531e+00,1.000000000000000000e+00
1.359227077421026220e+00,1.000000000000000000e+00
1.369831466600453185e+00,1.000000000000000000e+00
1.372050798582460374e+00,1.000000000000000000e+00
1.362091306380011968e+00,1.000000000000000000e+00
1.367447392256682770e+00,1.000000000000000000e+00
1.373110691285369445e+00,1.000000000000000000e+00
1.356139923053872876e+00,1.000000000000000000e+00
1.363604415979330575e+00,1.000000000000000000e+00
1.347136166880636532e+00,1.000000000000000000e+00
1.380985249465409570e+00,1.000000000000000000e+00
1.367913552821224066e+00,1.000000000000000000e+00
1.361456280096329907e+00,1.000000000000000000e+00
1.375858477665698354e+00,1.000000000000000000e+00
1.356195604302437019e+00,1.000000000000000000e+00
1.362646978957807953e+00,1.000000000000000000e+00
1.359012375012870422e+00,1.000000000000000000e+00
1.356948028908061321e+00,1.000000000000000000e+00
1.358941984098337441e+00,1.000000000000000000e+00
1.337970510286190295e+00,1.000000000000000000e+00
1.360283548021562483e+00,1.000000000000000000e+00
1.358745839523289867e+00,1.000000000000000000e+00
1.368139492191231543e+00,1.000000000000000000e+00
1.373126204442588927e+00,1.000000000000000000e+00
1.352614850564789473e+00,1.000000000000000000e+00
1.362504571114452778e+00,1.000000000000000000e+00
1.358931878317983344e+00,1.000000000000000000e+00
1.355471970114994651e+00,1.000000000000000000e+00
1.361919027159260054e+00,1.000000000000000000e+00
1.355671498867661029e+00,1.000000000000000000e+00
1.339601802281693343e+00,1.000000000000000000e+00
1.342009895983479639e+00,1.000000000000000000e+00
1.362902033317313411e+00,1.000000000000000000e+00
1.355571878405065211e+00,1.000000000000000000e+00
1.363522355709456679e+00,1.000000000000000000e+00
1.333295540757318598e+00,1.000000000000000000e+00
1.374855790221548801e+00,1.000000000000000000e+00
1.347045645370048783e+00,1.000000000000000000e+00
1.361420709955825092e+00,1.000000000000000000e+00
1.364716068897563250e+00,1.000000000000000000e+00
1.347919852106528760e+00,1.000000000000000000e+00
1.363771730905177337e+00,1.000000000000000000e+00
