m,likelihood
1.358377569818991049e+00,1.000000000000000000e+00
1.358713662619986717e+00,1.000000000000000000e+00
1.366189263294168121e+00,1.000000000000000000e+00
1.362946691218416939e+00,1.000000000000000000e+00
1.359061070683483585e+00,1.000000000000000000e+00
1.324837923935453299e+00,1.000000000000000000e+00
1.349788035469962733e+00,1.000000000000000000e+00
1.362662051606387648e+00,1.000000000000000000e+00
1.365985792217855765e+00,1.000000000000000000e+00
1.345952670076383750e+00,1.000000000000000000e+00
1.338262774323876636e+00,1.000000000000000000e+00
1.349382407086591185e+00,1.000000000000000000e+00
1.345391323684622442e+00,1.000000000000000000e+00
1.359845825797848295e+00,1.000000000000000000e+00
1.360671114196184694e+00,1.000000000000000000e+00
1.360846243614347806e+00,1.000000000000000000e+00
1.368649579723843823e+00,1.000000000000000000e+00
1.348485267027824674e+00,1.000000000000000000e+00
1.364720271114040040e+00,1.000000000000000000e+00
1.370418787605810262e+00,1.000000000000000000e+00
1.364303997859594109e+00,1.000000000000000000e+00
1.330240675813344264e+00,1.000000000000000000e+00
1.348690116829130758e+00,1.000000000000000000e+00
1.350127384806136588e+00,1.000000000000000000e+00
1.344826562110753132e+00,1.000000000000000000e+00
1.368066668347909021e+00,1.000000000000000000e+00
1.376548181750445243e+00,1.000000000000000000e+00
1.350807261213859523e+00,1.000000000000000000e+00
1.371072856987256561e+00,1.000000000000000000e+00
1.368150174772240879e+00,1.000000000000000000e+00
1.360507278182530477e+00,1.000000000000000000e+00
1.337323101237844147e+00,1.000000000000000000e+00
1.363681983881295245e+00,1.000000000000000000e+00
1.344533749078159257e+00,1.000000000000000000e+00
1.337227555711162141e+00,1.000000000000000000e+00
1.343744929221608375e+00,1.000000000000000000e+00
1.345936543153049891e+00,1.000000000000000000e+00
1.352661316017126802e+00,1.000000000000000000e+00
1.372579204369773986e+00,1.000000000000000000e+00
1.357223155854725860e+00,1.000000000000000000e+00
1.377890647280614056e+00,1.000000000000000000e+00
1.349861769128025468e+00,1.000000000000000000e+00
1.345102413871964275e+00,1.000000000000000000e+00
1.347980450128236196e+00,1.000000000000000000e+00
1.340203220415637109e+00,1.000000000000000000e+00
1.360143468180320392e+00,1.000000000000000000e+00
1.339770167185420302e+00,1.000000000000000000e+00
1.359537094722231831e+00,1.000000000000000000e+00
1.334453411093538655e+00,1.000000000000000000e+00
1.361376226287708713e+00,1.000000000000000000e+00
1.368344136175645431e+00,1.000000000000000000e+00
1.373164032682810509e+00,1.000000000000000000e+00
1.349412522467656306e+00,1.000000000000000000e+00
1.343606970408707912e+00,1.000000000000000000e+00
1.344670597643101262e+00,1.000000000000000000e+00
1.344229585853285780e+00,1.000000000000000000e+00
1.343360377008079753e+00,1.000000000000000000e+00
1.350745272117746421e+00,1.000000000000000000e+00
1.354330030516223804e+00,1.000000000000000000e+00
1.350138233812716582e+00,1.000000000000000000e+00
1.355361851063939582e+00,1.000000000000000000e+00
1.355012806932037517e+00,1.000000000000000000e+00
1.356238649623824344e+00,1.000000000000000000e+00
1.352705400540043179e+00,1.000000000000000000e+00
1.352176435948243993e+00,1.000000000000000000e+00
1.340060154524951308e+00,1.000000000000000000e+00
1.344633299321604136e+00,1.000000000000000000e+00
1.339478769121552837e+00,1.000000000000000000e+00
1.360801110821659998e+00,1.000000000000000000e+00
1.350414166641809244e+00,1.000000000000000000e+00
1.347459869760938123e+00,1.000000000000000000e+00
1.355487143844625431e+00,1.000000000000000000e+00
1.345788002833897989e+00,1.000000000000000000e+00
1.355851810913596189e+00,1.000000000000000000e+00
1.357060306294868290e+00,1.000000000000000000e+00
1.349075546051430097e+00,1.000000000000000000e+00
1.372396964061996183e+00,1.000000000000000000e+00
1.347902629543285435e+00,1.000000000000000000e+00
1.334509350600130650e+00,1.000000000000000000e+00
1.353281105189924283e+00,1.000000000000000000e+00
1.358021486649796605e+00,1.000000000000000000e+00
1.368266365068113943e+00,1.000000000000000000e+00
1.360117385482455754e+00,1.000000000000000000e+00
1.361054660681739303e+00,1.000000000000000000e+00
1.347518570336090571e+00,1.000000000000000000e+00
1.355887945633475811e+00,1.000000000000000000e+00
1.357286895461758292e+00,1.000000000000000000e+00
1.357867613640907356e+00,1.000000000000000000e+00
1.362356752241439706e+00,1.000000000000000000e+00
1.370861018558429789e+00,1.000000000000000000e+00
1.343897476168633087e+00,1.000000000000000000e+00
1.357392197126815914e+00,1.000000000000000000e+00
1.359927636851500532e+00,1.000000000000000000e+00
1.366057888834252054e+00,1.000000000000000000e+00
1.354637027321012877e+00,1.000000000000000000e+00
1.349825966579345060e+00,1.000000000000000000e+00
1.339069757874058686e+00,1.000000000000000000e+00
1.352834377441987090e+00,1.000000000000000000e+00
1.349970894062238580e+00,1.000000000000000000e+00
1.349304906638107537e+00,1.000000000000000000e+00
