m,likelihood
1.766857544849508743e+00,1.000000000000000000e+00
1.116146025398422781e+00,1.000000000000000000e+00
1.752804237039610191e+00,1.000000000000000000e+00
1.546423307502475808e+00,1.000000000000000000e+00
1.298251951607195753e+00,1.000000000000000000e+00
1.641230951813885675e+00,1.000000000000000000e+00
1.508964345074950808e+00,1.000000000000000000e+00
1.626923871451614545e+00,1.000000000000000000e+00
1.538090353558895229e+00,1.000000000000000000e+00
1.644533833977505521e+00,1.000000000000000000e+00
1.571550983481381447e+00,1.000000000000000000e+00
1.718674178001257102e+00,1.000000000000000000e+00
1.509575960740450862e+00,1.000000000000000000e+00
1.356696784731243444e+00,1.000000000000000000e+00
1.706540040088134980e+00,1.000000000000000000e+00
1.352114655338618965e+00,1.000000000000000000e+00
1.470093847674935450e+00,1.000000000000000000e+00
1.819998404135731773e+00,1.000000000000000000e+00
1.367067214180505585e+00,1.000000000000000000e+00
1.280705876247052899e+00,1.000000000000000000e+00
1.502025661961003511e+00,1.000000000000000000e+00
1.378304553868278770e+00,1.000000000000000000e+00
1.401796401435740025e+00,1.000000000000000000e+00
1.541538476227594101e+00,1.000000000000000000e+00
1.620178700027236296e+00,1.000000000000000000e+00
1.270538167487012871e+00,1.000000000000000000e+00
1.568486466268348645e+00,1.000000000000000000e+00
1.586135670386070284e+00,1.000000000000000000e+00
1.565315720614469441e+00,1.000000000000000000e+00
1.350140602754374308e+00,1.000000000000000000e+00
1.427771592905295650e+00,1.000000000000000000e+00
1.358366759182300543e+00,1.000000000000000000e+00
1.758202469852493621e+00,1.000000000000000000e+00
1.654028499253118234e+00,1.000000000000000000e+00
1.155138956913164483e+00,1.000000000000000000e+00
1.673036111574109697e+00,1.000000000000000000e+00
1.751304922634827843e+00,1.000000000000000000e+00
1.466408289083701355e+00,1.000000000000000000e+00
1.903448457499534063e+00,1.000000000000000000e+00
1.598398208220491057e+00,1.000000000000000000e+00
1.661835597884641968e+00,1.000000000000000000e+00
1.789243738041881526e+00,1.000000000000000000e+00
1.536423596267139313e+00,1.000000000000000000e+00
1.444470640078096668e+00,1.000000000000000000e+00
1.679298420422777216e+00,1.000000000000000000e+00
1.265919169895011187e+00,1.000000000000000000e+00
1.683837232507832793e+00,1.000000000000000000e+00
1.557241804388456385e+00,1.000000000000000000e+00
1.474819822727175822e+00,1.000000000000000000e+00
1.787903943863131229e+00,1.000000000000000000e+00
1.618845212540727552e+00,1.000000000000000000e+00
1.369953849770926713e+00,1.000000000000000000e+00
1.301891069284099922e+00,1.000000000000000000e+00
1.501882516067238882e+00,1.000000000000000000e+00
1.469481159667104686e+00,1.000000000000000000e+00
1.334441406449516254e+00,1.000000000000000000e+00
1.702039603185136807e+00,1.000000000000000000e+00
1.690850099539527918e+00,1.000000000000000000e+00
1.836818038139861997e+00,1.000000000000000000e+00
1.718907417394343717e+00,1.000000000000000000e+00
1.527108897119835218e+00,1.000000000000000000e+00
1.582854226932099762e+00,1.000000000000000000e+00
1.370973657938425516e+00,1.000000000000000000e+00
1.439452083222172885e+00,1.000000000000000000e+00
1.589035493223639683e+00,1.000000000000000000e+00
1.397343447415303253e+00,1.000000000000000000e+00
1.435822472542039208e+00,1.000000000000000000e+00
1.599395375081920978e+00,1.000000000000000000e+00
1.457500597550733357e+00,1.000000000000000000e+00
1.676547943985801314e+00,1.000000000000000000e+00
1.533787829244573242e+00,1.000000000000000000e+00
1.496064629772503540e+00,1.000000000000000000e+00
1.471548858651763103e+00,1.000000000000000000e+00
1.445329417845057751e+00,1.000000000000000000e+00
1.728853767384530782e+00,1.000000000000000000e+00
1.807928503974557843e+00,1.000000000000000000e+00
1.634998762392297245e+00,1.000000000000000000e+00
1.789641133974814169e+00,1.000000000000000000e+00
1.437399638999224960e+00,1.000000000000000000e+00
1.571950490213418261e+00,1.000000000000000000e+00
1.576810549978386877e+00,1.000000000000000000e+00
1.638447863052499898e+00,1.000000000000000000e+00
1.425946188995689701e+00,1.000000000000000000e+00
1.706922107001588529e+00,1.000000000000000000e+00
1.591242652969819371e+00,1.000000000000000000e+00
1.682298532609201480e+00,1.000000000000000000e+00
1.586365613480309023e+00,1.000000000000000000e+00
1.479946325531487306e+00,1.000000000000000000e+00
1.727207826028325677e+00,1.000000000000000000e+00
1.824513178734557872e+00,1.000000000000000000e+00
1.533071679376868168e+00,1.000000000000000000e+00
1.613078939125008437e+00,1.000000000000000000e+00
1.651099704219875619e+00,1.000000000000000000e+00
1.778637162153910545e+00,1.000000000000000000e+00
1.594822704706525762e+00,1.000000000000000000e+00
1.191239603412667991e+00,1.000000000000000000e+00
1.507640421821068388e+00,1.000000000000000000e+00
1.576656392148796826e+00,1.000000000000000000e+00
1.525078847941774729e+00,1.000000000000000000e+00
1.789560373475906019e+00,1.000000000000000000e+00
