m,likelihood
2.073872886557664774e+00,1.000000000000000000e+00
1.909698348001420243e+00,1.000000000000000000e+00
2.250988750429175678e+00,1.000000000000000000e+00
2.211805203201462344e+00,1.000000000000000000e+00
2.760818332545259324e+00,1.000000000000000000e+00
2.239805850656459096e+00,1.000000000000000000e+00
1.371119643908769392e+00,1.000000000000000000e+00
2.674080043879593305e+00,1.000000000000000000e+00
2.494789828144931221e+00,1.000000000000000000e+00
2.467260123387035264e+00,1.000000000000000000e+00
2.801951016111056347e+00,1.000000000000000000e+00
2.648409312668831284e+00,1.000000000000000000e+00
2.000270788523102361e+00,1.000000000000000000e+00
2.147750025629691084e+00,1.000000000000000000e+00
2.313786792473796261e+00,1.000000000000000000e+00
1.874444490607812819e+00,1.000000000000000000e+00
1.630306597644298527e+00,1.000000000000000000e+00
2.007851419885344324e+00,1.000000000000000000e+00
1.016858551255769516e+00,1.000000000000000000e+00
1.958382849883925081e+00,1.000000000000000000e+00
2.076137984010164583e+00,1.000000000000000000e+00
1.830747002773146059e+00,1.000000000000000000e+00
2.453240147023881601e+00,1.000000000000000000e+00
2.149188643000075505e+00,1.000000000000000000e+00
1.110100341998328410e+00,1.000000000000000000e+00
2.017049542138523055e+00,1.000000000000000000e+00
1.442700575336379076e+00,1.000000000000000000e+00
2.324472518162461476e+00,1.000000000000000000e+00
1.963641081323292070e+00,1.000000000000000000e+00
1.356966771118954806e+00,1.000000000000000000e+00
2.229923167287831465e+00,1.000000000000000000e+00
2.682350915632575550e+00,1.000000000000000000e+00
2.693283276436601703e+00,1.000000000000000000e+00
1.886118746235665666e+00,1.000000000000000000e+00
1.467292308046373117e+00,1.000000000000000000e+00
1.588377870433279160e+00,1.000000000000000000e+00
2.688828599334972314e+00,1.000000000000000000e+00
1.941136368626303010e+00,1.000000000000000000e+00
2.530864430966949463e+00,1.000000000000000000e+00
2.148283672627032903e+00,1.000000000000000000e+00
1.938244327594713878e+00,1.000000000000000000e+00
2.422272184540334550e+00,1.000000000000000000e+00
1.958318500813016394e+00,1.000000000000000000e+00
1.776642219646052290e+00,1.000000000000000000e+00
1.903260088210513512e+00,1.000000000000000000e+00
1.822536299187939024e+00,1.000000000000000000e+00
2.057822678031293151e+00,1.000000000000000000e+00
2.509883538628954636e+00,1.000000000000000000e+00
3.153325894396621809e+00,1.000000000000000000e+00
1.842804359985502405e+00,1.000000000000000000e+00
1.465327726297589894e+00,1.000000000000000000e+00
1.973785851267262359e+00,1.000000000000000000e+00
2.010950790598666327e+00,1.000000000000000000e+00
1.671495379214885002e+00,1.000000000000000000e+00
2.100807113783184299e+00,1.000000000000000000e+00
1.301552543717737764e+00,1.000000000000000000e+00
1.879549890891242026e+00,1.000000000000000000e+00
2.181492363345490570e+00,1.000000000000000000e+00
2.305626418664149746e+00,1.000000000000000000e+00
2.616400232120998481e+00,1.000000000000000000e+00
2.352564818391959633e+00,1.000000000000000000e+00
1.764725208988380700e+00,1.000000000000000000e+00
2.415837913972978424e+00,1.000000000000000000e+00
2.055286455508403165e+00,1.000000000000000000e+00
8.671153319366824430e-01,1.000000000000000000e+00
2.586803312740126870e+00,1.000000000000000000e+00
2.543934085216478014e+00,1.000000000000000000e+00
1.887442717558200034e+00,1.000000000000000000e+00
1.613553611399634491e+00,1.000000000000000000e+00
1.915531691187257080e+00,1.000000000000000000e+00
1.441436668947484456e+00,1.000000000000000000e+00
2.750465581543421134e+00,1.000000000000000000e+00
2.099628450789046141e+00,1.000000000000000000e+00
1.885304327031344540e+00,1.000000000000000000e+00
1.441776480019616447e+00,1.000000000000000000e+00
2.285230295120996402e+00,1.000000000000000000e+00
2.670603133838829635e+00,1.000000000000000000e+00
1.284155204719193311e+00,1.000000000000000000e+00
1.825709876969624057e+00,1.000000000000000000e+00
1.717297599387589191e+00,1.000000000000000000e+00
2.023184638548146452e+00,1.000000000000000000e+00
1.640798145833075816e+00,1.000000000000000000e+00
2.478180873392317629e+00,1.000000000000000000e+00
1.768670089249125610e+00,1.000000000000000000e+00
1.673430484681219799e+00,1.000000000000000000e+00
1.633873183705654597e+00,1.000000000000000000e+00
1.402696507519120228e+00,1.000000000000000000e+00
1.400646822918300671e+00,1.000000000000000000e+00
1.891482556556332462e+00,1.000000000000000000e+00
2.561815608650121590e+00,1.000000000000000000e+00
1.884450921580148597e+00,1.000000000000000000e+00
1.957625609730593297e+00,1.000000000000000000e+00
1.661617188702189329e+00,1.000000000000000000e+00
1.993050573044147677e+00,1.000000000000000000e+00
1.944715572451546581e+00,1.000000000000000000e+00
1.303637810598308189e+00,1.000000000000000000e+00
2.128431223109688908e+00,1.000000000000000000e+00
2.492213286040460218e+00,1.000000000000000000e+00
1.425109218430782754e+00,1.000000000000000000e+00
2.019083656906715429e+00,1.000000000000000000e+00
