m,likelihood
1.448815357597628584e+00,1.000000000000000000e+00
6.599753107492163373e-01,1.000000000000000000e+00
1.183218842082895961e+00,1.000000000000000000e+00
6.213681086885156635e-01,1.000000000000000000e+00
7.371516182166153452e-01,1.000000000000000000e+00
6.218101070560655419e-01,1.000000000000000000e+00
1.601897999495361269e+00,1.000000000000000000e+00
1.111262952218024624e+00,1.000000000000000000e+00
3.544566024731017340e-01,1.000000000000000000e+00
1.194266416444389911e+00,1.000000000000000000e+00
1.313235891680351486e+00,1.000000000000000000e+00
1.238911818132624187e+00,1.000000000000000000e+00
5.738290198466551306e-01,1.000000000000000000e+00
1.085020256460051735e+00,1.000000000000000000e+00
9.596256403596703510e-01,1.000000000000000000e+00
1.158941707198531290e+00,1.000000000000000000e+00
6.993272753645407569e-01,1.000000000000000000e+00
1.258340127450004786e+00,1.000000000000000000e+00
1.120567812748239245e+00,1.000000000000000000e+00
1.490182967390369484e+00,1.000000000000000000e+00
1.896903026995193864e+00,1.000000000000000000e+00
1.852288980939318375e+00,1.000000000000000000e+00
1.131751035613568046e+00,1.000000000000000000e+00
5.949868835971304781e-01,1.000000000000000000e+00
1.131425200766728700e+00,1.000000000000000000e+00
5.497882705384824487e-01,1.000000000000000000e+00
1.128023041923116754e+00,1.000000000000000000e+00
1.364084823644199362e+00,1.000000000000000000e+00
1.372947459399915360e+00,1.000000000000000000e+00
1.234805650368549612e+00,1.000000000000000000e+00
1.081272022309629932e+00,1.000000000000000000e+00
1.380421115954080236e+00,1.000000000000000000e+00
1.022197766095753746e-01,1.000000000000000000e+00
1.792492490898512703e+00,1.000000000000000000e+00
1.647660497611660890e+00,1.000000000000000000e+00
6.681941745094026608e-01,1.000000000000000000e+00
6.912244998746615021e-01,1.000000000000000000e+00
1.096640788270200062e+00,1.000000000000000000e+00
1.901484055236468462e+00,1.000000000000000000e+00
1.190391062585359983e+00,1.000000000000000000e+00
1.207967188382342627e+00,1.000000000000000000e+00
1.177952301462169116e+00,1.000000000000000000e+00
1.347713582195233517e+00,1.000000000000000000e+00
1.152482197226192495e+00,1.000000000000000000e+00
1.379627663266547177e+00,1.000000000000000000e+00
1.131232346807289346e+00,1.000000000000000000e+00
1.051611868221617563e+00,1.000000000000000000e+00
8.505477196229520587e-01,1.000000000000000000e+00
1.214484806626359159e+00,1.000000000000000000e+00
1.278239528120845847e+00,1.000000000000000000e+00
1.293017543825407678e+00,1.000000000000000000e+00
3.916876640248156960e-01,1.000000000000000000e+00
9.763513369936704933e-01,1.000000000000000000e+00
7.970817103004375070e-01,1.000000000000000000e+00
1.135666491672250533e+00,1.000000000000000000e+00
1.363896764934622752e+00,1.000000000000000000e+00
1.393246018009340004e+00,1.000000000000000000e+00
1.414927477210994100e+00,1.000000000000000000e+00
1.854658172477715805e+00,1.000000000000000000e+00
8.426777915079217696e-01,1.000000000000000000e+00
8.949410545727866095e-01,1.000000000000000000e+00
1.733655817217056416e+00,1.000000000000000000e+00
1.161593185601712541e+00,1.000000000000000000e+00
4.517898379629085026e-01,1.000000000000000000e+00
1.626139474595650558e+00,1.000000000000000000e+00
1.019253370261417713e+00,1.000000000000000000e+00
1.359562915523151894e+00,1.000000000000000000e+00
1.177542793768397544e+00,1.000000000000000000e+00
5.528681547679462627e-01,1.000000000000000000e+00
5.534671527808220359e-01,1.000000000000000000e+00
5.510745114747771511e-01,1.000000000000000000e+00
1.399184385037055556e+00,1.000000000000000000e+00
1.452546638182741434e+00,1.000000000000000000e+00
1.650708236011437346e+00,1.000000000000000000e+00
5.512793263846975655e-01,1.000000000000000000e+00
1.387171709300559996e+00,1.000000000000000000e+00
9.703117672874859156e-01,1.000000000000000000e+00
8.692303945844764845e-01,1.000000000000000000e+00
6.490055212984282562e-01,1.000000000000000000e+00
7.092861665976372132e-01,1.000000000000000000e+00
1.419445267436791669e+00,1.000000000000000000e+00
7.522872733923302579e-01,1.000000000000000000e+00
1.232353807878029839e+00,1.000000000000000000e+00
8.558162590888412913e-01,1.000000000000000000e+00
1.274842610529591802e+00,1.000000000000000000e+00
1.767594265355773686e+00,1.000000000000000000e+00
1.223779960828088820e+00,1.000000000000000000e+00
1.181723075499802267e+00,1.000000000000000000e+00
1.348446156420200159e+00,1.000000000000000000e+00
1.152417184434842534e+00,1.000000000000000000e+00
8.134784611579274349e-01,1.000000000000000000e+00
1.311084573476990256e+00,1.000000000000000000e+00
1.401514880947157371e+00,1.000000000000000000e+00
1.698708791740169310e+00,1.000000000000000000e+00
9.450749123666565277e-01,1.000000000000000000e+00
1.067626510459005473e+00,1.000000000000000000e+00
6.292109893815205357e-01,1.000000000000000000e+00
8.347574548229883540e-01,1.000000000000000000e+00
1.033898555307464884e+00,1.000000000000000000e+00
1.574003146024841815e+00,1.000000000000000000e+00
