m,likelihood
2.040015750436229514e+00,1.000000000000000000e+00
1.174226637272780760e+00,1.000000000000000000e+00
1.311590152638011819e+00,1.000000000000000000e+00
2.302241566637543535e+00,1.000000000000000000e+00
2.221092793063107251e+00,1.000000000000000000e+00
2.901583180385857386e+00,1.000000000000000000e+00
1.962326705569787055e+00,1.000000000000000000e+00
2.019615500541927844e+00,1.000000000000000000e+00
2.300680912136792600e+00,1.000000000000000000e+00
2.157753727750802764e+00,1.000000000000000000e+00
2.255932080375509408e+00,1.000000000000000000e+00
2.202927137666194746e+00,1.000000000000000000e+00
3.263461823770255954e+00,1.000000000000000000e+00
1.458259593542747812e+00,1.000000000000000000e+00
1.540146088885198994e+00,1.000000000000000000e+00
2.286184735886155117e+00,1.000000000000000000e+00
1.661317669243568051e+00,1.000000000000000000e+00
2.869025999766423585e+00,1.000000000000000000e+00
2.180146816615365246e+00,1.000000000000000000e+00
1.693326933074362550e+00,1.000000000000000000e+00
1.039751898858839230e+00,1.000000000000000000e+00
2.564924885692784429e+00,1.000000000000000000e+00
2.291204648939049626e+00,1.000000000000000000e+00
2.348858426355756368e+00,1.000000000000000000e+00
1.943472924505882826e+00,1.000000000000000000e+00
1.809437953304901203e+00,1.000000000000000000e+00
2.349056325880836571e+00,1.000000000000000000e+00
1.602385092393263211e+00,1.000000000000000000e+00
1.872136113346143382e+00,1.000000000000000000e+00
2.229184974057367707e+00,1.000000000000000000e+00
1.685748889625364733e+00,1.000000000000000000e+00
1.563937585673354835e+00,1.000000000000000000e+00
2.384816247014835522e+00,1.000000000000000000e+00
2.841883775422501035e+00,1.000000000000000000e+00
1.982550466759379626e+00,1.000000000000000000e+00
2.341146303044542076e+00,1.000000000000000000e+00
2.882549582444259517e+00,1.000000000000000000e+00
2.267825629756158978e+00,1.000000000000000000e+00
2.090182035518377113e+00,1.000000000000000000e+00
9.922121727425019522e-01,1.000000000000000000e+00
1.696677706781002160e+00,1.000000000000000000e+00
1.608127416927634723e+00,1.000000000000000000e+00
1.816600280235650455e+00,1.000000000000000000e+00
2.466609930134538775e+00,1.000000000000000000e+00
1.627956852130521881e+00,1.000000000000000000e+00
1.752533870128639260e+00,1.000000000000000000e+00
2.201126960289558010e+00,1.000000000000000000e+00
2.052301567833656470e+00,1.000000000000000000e+00
1.768504241828063650e+00,1.000000000000000000e+00
2.424430171700559633e+00,1.000000000000000000e+00
1.889107566484185874e+00,1.000000000000000000e+00
2.232557702028640456e+00,1.000000000000000000e+00
2.116066209177160928e+00,1.000000000000000000e+00
2.300351850624069883e+00,1.000000000000000000e+00
1.743451623989479282e+00,1.000000000000000000e+00
2.289129432310653467e+00,1.000000000000000000e+00
2.300795677684949858e+00,1.000000000000000000e+00
2.504380097802638705e+00,1.000000000000000000e+00
2.950689138366827891e+00,1.000000000000000000e+00
2.440015854103900761e+00,1.000000000000000000e+00
1.920501359838448829e+00,1.000000000000000000e+00
2.176797361150415888e+00,1.000000000000000000e+00
1.334686581205308364e+00,1.000000000000000000e+00
1.873256545742829626e+00,1.000000000000000000e+00
2.032860858756281974e+00,1.000000000000000000e+00
2.277357445709772943e+00,1.000000000000000000e+00
2.242926783817644321e+00,1.000000000000000000e+00
2.251209753337581443e+00,1.000000000000000000e+00
2.094230250494944823e+00,1.000000000000000000e+00
2.249391606387474152e+00,1.000000000000000000e+00
2.095702940128351788e+00,1.000000000000000000e+00
2.172117908365331918e+00,1.000000000000000000e+00
1.824475027551119011e+00,1.000000000000000000e+00
2.783945704252457354e+00,1.000000000000000000e+00
1.856429496496072362e+00,1.000000000000000000e+00
1.694015642393545074e+00,1.000000000000000000e+00
2.295626474482511448e+00,1.000000000000000000e+00
2.304291243325451877e+00,1.000000000000000000e+00
1.521721781951701047e+00,1.000000000000000000e+00
1.781560782565826173e+00,1.000000000000000000e+00
2.114744836395645589e+00,1.000000000000000000e+00
1.993491856150478414e+00,1.000000000000000000e+00
1.498426150657775624e+00,1.000000000000000000e+00
2.881590035713806230e+00,1.000000000000000000e+00
1.242106745283808156e+00,1.000000000000000000e+00
1.896524242163660778e+00,1.000000000000000000e+00
1.922746523298825894e+00,1.000000000000000000e+00
2.367469839681944688e+00,1.000000000000000000e+00
2.078884534714775079e+00,1.000000000000000000e+00
1.016212014731341373e+00,1.000000000000000000e+00
2.540348248185689162e+00,1.000000000000000000e+00
1.796865048974468637e+00,1.000000000000000000e+00
1.579129358637632707e+00,1.000000000000000000e+00
2.093079965545771248e+00,1.000000000000000000e+00
2.215856481449331117e+00,1.000000000000000000e+00
1.949161976160738607e+00,1.000000000000000000e+00
1.717088316059915076e+00,1.000000000000000000e+00
2.356997082211769179e+00,1.000000000000000000e+00
1.810050007912606507e+00,1.000000000000000000e+00
1.431853879285626796e+00,1.000000000000000000e+00
