m,likelihood
1.561581707658580065e+00,1.000000000000000000e+00
1.552766911670707239e+00,1.000000000000000000e+00
1.551101865398236912e+00,1.000000000000000000e+00
1.561970260015276279e+00,1.000000000000000000e+00
1.553765637134684185e+00,1.000000000000000000e+00
1.558274950891352484e+00,1.000000000000000000e+00
1.562400103494878678e+00,1.000000000000000000e+00
1.567648609888958156e+00,1.000000000000000000e+00
1.553516997055331972e+00,1.000000000000000000e+00
1.556108721289005681e+00,1.000000000000000000e+00
1.559305482753589711e+00,1.000000000000000000e+00
1.556875462485562966e+00,1.000000000000000000e+00
1.558444594481282364e+00,1.000000000000000000e+00
1.564246073052247832e+00,1.000000000000000000e+00
1.566351915721667654e+00,1.000000000000000000e+00
1.555847980876285064e+00,1.000000000000000000e+00
1.561956227395111529e+00,1.000000000000000000e+00
1.560251174607077074e+00,1.000000000000000000e+00
1.553114887898046748e+00,1.000000000000000000e+00
1.555333584285959025e+00,1.000000000000000000e+00
1.559581947526091694e+00,1.000000000000000000e+00
1.561489858575650924e+00,1.000000000000000000e+00
1.561068595027726102e+00,1.000000000000000000e+00
1.557308421057372438e+00,1.000000000000000000e+00
1.558411316674120473e+00,1.000000000000000000e+00
1.560699352443604138e+00,1.000000000000000000e+00
1.561111193320366963e+00,1.000000000000000000e+00
1.564941443828896439e+00,1.000000000000000000e+00
1.566853497189525379e+00,1.000000000000000000e+00
1.560359326739425567e+00,1.000000000000000000e+00
1.556680241571526180e+00,1.000000000000000000e+00
1.559084303938739424e+00,1.000000000000000000e+00
1.563763588560228124e+00,1.000000000000000000e+00
1.553423640266072381e+00,1.000000000000000000e+00
1.558489931333091993e+00,1.000000000000000000e+00
1.563279678705256970e+00,1.000000000000000000e+00
1.551889570963274512e+00,1.000000000000000000e+00
1.559327526016924814e+00,1.000000000000000000e+00
1.560444958370230228e+00,1.000000000000000000e+00
1.552438475582099464e+00,1.000000000000000000e+00
1.557452940601365965e+00,1.000000000000000000e+00
1.555016331798000140e+00,1.000000000000000000e+00
1.557132557239280679e+00,1.000000000000000000e+00
1.556308119297153958e+00,1.000000000000000000e+00
1.560945293996991667e+00,1.000000000000000000e+00
1.564971804326053428e+00,1.000000000000000000e+00
1.564406253661730251e+00,1.000000000000000000e+00
1.555809015748641722e+00,1.000000000000000000e+00
1.565489944327271177e+00,1.000000000000000000e+00
1.555506391658911802e+00,1.000000000000000000e+00
1.560764997534475285e+00,1.000000000000000000e+00
1.557689534566353284e+00,1.000000000000000000e+00
1.568741572684225982e+00,1.000000000000000000e+00
1.560687567759173611e+00,1.000000000000000000e+00
1.558919663522742693e+00,1.000000000000000000e+00
1.552996426863896051e+00,1.000000000000000000e+00
1.557483517720286370e+00,1.000000000000000000e+00
1.562420599591864967e+00,1.000000000000000000e+00
1.557461196898567435e+00,1.000000000000000000e+00
1.560141740101954833e+00,1.000000000000000000e+00
1.559765938071581814e+00,1.000000000000000000e+00
1.558641148416731737e+00,1.000000000000000000e+00
1.557809355087827363e+00,1.000000000000000000e+00
1.562672323726883139e+00,1.000000000000000000e+00
1.561275683445232376e+00,1.000000000000000000e+00
1.557047371064275598e+00,1.000000000000000000e+00
1.562506407331138769e+00,1.000000000000000000e+00
1.558286336553036167e+00,1.000000000000000000e+00
1.556628967199138458e+00,1.000000000000000000e+00
1.556482005486065523e+00,1.000000000000000000e+00
1.562624246294455510e+00,1.000000000000000000e+00
1.563238849921837481e+00,1.000000000000000000e+00
1.558572919790635725e+00,1.000000000000000000e+00
1.553579542748115605e+00,1.000000000000000000e+00
1.565402123228351039e+00,1.000000000000000000e+00
1.555829119321960219e+00,1.000000000000000000e+00
1.563299055942224403e+00,1.000000000000000000e+00
1.557683862132482666e+00,1.000000000000000000e+00
1.560149154626761847e+00,1.000000000000000000e+00
1.561842785979480563e+00,1.000000000000000000e+00
1.553441892180229766e+00,1.000000000000000000e+00
1.561177473720028130e+00,1.000000000000000000e+00
1.562010555963276648e+00,1.000000000000000000e+00
1.552115295944179518e+00,1.000000000000000000e+00
1.560928579548344963e+00,1.000000000000000000e+00
1.559906704658308607e+00,1.000000000000000000e+00
1.554700421328077731e+00,1.000000000000000000e+00
1.555595294745500512e+00,1.000000000000000000e+00
1.563284215471806515e+00,1.000000000000000000e+00
1.567761455582502128e+00,1.000000000000000000e+00
1.557758822248505481e+00,1.000000000000000000e+00
1.555832125991408521e+00,1.000000000000000000e+00
1.567062242591735099e+00,1.000000000000000000e+00
1.557160226304676209e+00,1.000000000000000000e+00
1.561230591665507372e+00,1.000000000000000000e+00
1.559348852443402489e+00,1.000000000000000000e+00
1.564982202227306995e+00,1.000000000000000000e+00
1.556886811276911198e+00,1.000000000000000000e+00
1.563615317439742247e+00,1.000000000000000000e+00
1.562049996468500845e+00,1.000000000000000000e+00
