m,likelihood
1.248913591458528538e+00,1.000000000000000000e+00
1.249930431023482003e+00,1.000000000000000000e+00
1.248004994752800245e+00,1.000000000000000000e+00
1.248296622323185723e+00,1.000000000000000000e+00
1.249301840713503697e+00,1.000000000000000000e+00
1.248903187988163577e+00,1.000000000000000000e+00
1.248839928305832903e+00,1.000000000000000000e+00
1.247016557459800890e+00,1.000000000000000000e+00
1.249821256142830572e+00,1.000000000000000000e+00
1.248514922254624793e+00,1.000000000000000000e+00
1.247636613446046150e+00,1.000000000000000000e+00
1.248472633325883763e+00,1.000000000000000000e+00
1.249231391478860420e+00,1.000000000000000000e+00
1.250055360195216680e+00,1.000000000000000000e+00
1.248461402444606128e+00,1.000000000000000000e+00
1.248110830756438583e+00,1.000000000000000000e+00
1.248656070863019663e+00,1.000000000000000000e+00
1.248649694218296524e+00,1.000000000000000000e+00
1.248456969720952214e+00,1.000000000000000000e+00
1.247728555432761288e+00,1.000000000000000000e+00
1.250984565591863884e+00,1.000000000000000000e+00
1.248245403698165612e+00,1.000000000000000000e+00
1.247959317314385919e+00,1.000000000000000000e+00
1.248387023440006294e+00,1.000000000000000000e+00
1.249991136021481708e+00,1.000000000000000000e+00
1.248631251200777337e+00,1.000000000000000000e+00
1.249325402886585223e+00,1.000000000000000000e+00
1.250211343011287113e+00,1.000000000000000000e+00
1.248112262040208975e+00,1.000000000000000000e+00
1.249117150410328225e+00,1.000000000000000000e+00
1.248363040513132738e+00,1.000000000000000000e+00
1.248386838797323595e+00,1.000000000000000000e+00
1.248945697963091961e+00,1.000000000000000000e+00
1.249478715572895471e+00,1.000000000000000000e+00
1.249703675450287488e+00,1.000000000000000000e+00
1.249607119945264744e+00,1.000000000000000000e+00
1.248050650551724150e+00,1.000000000000000000e+00
1.248701473299127285e+00,1.000000000000000000e+00
1.247766223526865836e+00,1.000000000000000000e+00
1.248042172817550588e+00,1.000000000000000000e+00
1.249645212142191264e+00,1.000000000000000000e+00
1.249749282477347512e+00,1.000000000000000000e+00
1.248598427226855767e+00,1.000000000000000000e+00
1.248382930565587801e+00,1.000000000000000000e+00
1.248701616761915822e+00,1.000000000000000000e+00
1.248388114411752792e+00,1.000000000000000000e+00
1.250765067725508439e+00,1.000000000000000000e+00
1.248688172275861374e+00,1.000000000000000000e+00
1.248273248198336738e+00,1.000000000000000000e+00
1.248996780492297454e+00,1.000000000000000000e+00
1.248114900939778504e+00,1.000000000000000000e+00
1.248633352658300222e+00,1.000000000000000000e+00
1.250123593452254545e+00,1.000000000000000000e+00
1.249494305018232998e+00,1.000000000000000000e+00
1.249700540692380013e+00,1.000000000000000000e+00
1.248745052831367275e+00,1.000000000000000000e+00
1.248063001399586369e+00,1.000000000000000000e+00
1.249201057251313918e+00,1.000000000000000000e+00
1.249205493963047475e+00,1.000000000000000000e+00
1.249782144748849744e+00,1.000000000000000000e+00
1.248625956926050273e+00,1.000000000000000000e+00
1.248560420514303937e+00,1.000000000000000000e+00
1.248153924919684021e+00,1.000000000000000000e+00
1.249227751867973080e+00,1.000000000000000000e+00
1.250174563400151539e+00,1.000000000000000000e+00
1.248713678215398915e+00,1.000000000000000000e+00
1.248261885210393274e+00,1.000000000000000000e+00
1.248066007509639030e+00,1.000000000000000000e+00
1.249321521176457228e+00,1.000000000000000000e+00
1.250217100230861744e+00,1.000000000000000000e+00
1.247692138305309673e+00,1.000000000000000000e+00
1.249111418424607045e+00,1.000000000000000000e+00
1.248765032008448017e+00,1.000000000000000000e+00
1.249133640211267382e+00,1.000000000000000000e+00
1.247766818198663419e+00,1.000000000000000000e+00
1.248545885755365292e+00,1.000000000000000000e+00
1.248549540145348136e+00,1.000000000000000000e+00
1.248759998745741839e+00,1.000000000000000000e+00
1.248763160162365216e+00,1.000000000000000000e+00
1.248435084767902215e+00,1.000000000000000000e+00
1.248867938988812654e+00,1.000000000000000000e+00
1.249475014339749945e+00,1.000000000000000000e+00
1.248733772170320000e+00,1.000000000000000000e+00
1.248469410865092000e+00,1.000000000000000000e+00
1.249499060951568818e+00,1.000000000000000000e+00
1.250136293132167120e+00,1.000000000000000000e+00
1.249389338124962778e+00,1.000000000000000000e+00
1.248700590527801690e+00,1.000000000000000000e+00
1.249401870862367758e+00,1.000000000000000000e+00
1.248784219252150773e+00,1.000000000000000000e+00
1.249202344933080022e+00,1.000000000000000000e+00
1.249685200994297363e+00,1.000000000000000000e+00
1.248185738478706952e+00,1.000000000000000000e+00
1.249478359334998290e+00,1.000000000000000000e+00
1.249118583505341995e+00,1.000000000000000000e+00
1.248424910262834864e+00,1.000000000000000000e+00
1.249381478601515383e+00,1.000000000000000000e+00
1.247976017559486062e+00,1.000000000000000000e+00
1.248433595287801179e+00,1.000000000000000000e+00
1.250276814350124166e+00,1.000000000000000000e+00
