m,likelihood
1.263668871428921037e+00,1.000000000000000000e+00
1.259622288209079066e+00,1.000000000000000000e+00
1.274704401261814724e+00,1.000000000000000000e+00
1.251959530678227628e+00,1.000000000000000000e+00
1.254522608945483286e+00,1.000000000000000000e+00
1.277945196822080964e+00,1.000000000000000000e+00
1.265268128711906748e+00,1.000000000000000000e+00
1.285434515486996832e+00,1.000000000000000000e+00
1.276388736424880488e+00,1.000000000000000000e+00
1.268169620523715624e+00,1.000000000000000000e+00
1.246114038136732605e+00,1.000000000000000000e+00
1.251497404281165071e+00,1.000000000000000000e+00
1.266697367465189128e+00,1.000000000000000000e+00
1.267111971707483242e+00,1.000000000000000000e+00
1.270875780060807925e+00,1.000000000000000000e+00
1.273224057104210827e+00,1.000000000000000000e+00
1.243409267686631292e+00,1.000000000000000000e+00
1.265255601160246712e+00,1.000000000000000000e+00
1.258554589051574357e+00,1.000000000000000000e+00
1.274639798951018976e+00,1.000000000000000000e+00
1.266788637804096229e+00,1.000000000000000000e+00
1.253805307843195660e+00,1.000000000000000000e+00
1.223966356646074338e+00,1.000000000000000000e+00
1.266724200029127223e+00,1.000000000000000000e+00
1.274541843236511207e+00,1.000000000000000000e+00
1.268952635720760780e+00,1.000000000000000000e+00
1.248074276023535489e+00,1.000000000000000000e+00
1.243362800895066789e+00,1.000000000000000000e+00
1.244736867624106402e+00,1.000000000000000000e+00
1.261471606701147108e+00,1.000000000000000000e+00
1.292290573949925969e+00,1.000000000000000000e+00
1.254735021386123028e+00,1.000000000000000000e+00
1.239006273144134695e+00,1.000000000000000000e+00
1.245886618585481109e+00,1.000000000000000000e+00
1.246545048686009682e+00,1.000000000000000000e+00
1.248567147204322714e+00,1.000000000000000000e+00
1.269675456553707171e+00,1.000000000000000000e+00
1.255135873281553405e+00,1.000000000000000000e+00
1.251426766739323071e+00,1.000000000000000000e+00
1.235008248364763750e+00,1.000000000000000000e+00
1.283913412272552623e+00,1.000000000000000000e+00
1.247310158946663528e+00,1.000000000000000000e+00
1.270533802439928417e+00,1.000000000000000000e+00
1.264850958826138960e+00,1.000000000000000000e+00
1.246188135701184141e+00,1.000000000000000000e+00
1.258098249002487012e+00,1.000000000000000000e+00
1.244706547621277082e+00,1.000000000000000000e+00
1.268082239488550478e+00,1.000000000000000000e+00
1.250945104419204812e+00,1.000000000000000000e+00
1.268095547646925558e+00,1.000000000000000000e+00
1.237173032169680553e+00,1.000000000000000000e+00
1.257303641622460777e+00,1.000000000000000000e+00
1.258124636097760707e+00,1.000000000000000000e+00
1.273905141994279067e+00,1.000000000000000000e+00
1.282854861555295267e+00,1.000000000000000000e+00
1.222000681562312785e+00,1.000000000000000000e+00
1.264071902705808270e+00,1.000000000000000000e+00
1.259194437985928117e+00,1.000000000000000000e+00
1.288205158558419550e+00,1.000000000000000000e+00
1.255617798792163065e+00,1.000000000000000000e+00
1.264743490347102428e+00,1.000000000000000000e+00
1.257778232180135403e+00,1.000000000000000000e+00
1.273470119289153768e+00,1.000000000000000000e+00
1.277456277309133803e+00,1.000000000000000000e+00
1.226338998533950342e+00,1.000000000000000000e+00
1.268041554598583254e+00,1.000000000000000000e+00
1.271054100686549448e+00,1.000000000000000000e+00
1.277310337458609446e+00,1.000000000000000000e+00
1.267051940831954937e+00,1.000000000000000000e+00
1.246983485123861035e+00,1.000000000000000000e+00
1.254283490383961031e+00,1.000000000000000000e+00
1.281383954814930837e+00,1.000000000000000000e+00
1.267626006926359405e+00,1.000000000000000000e+00
1.229682370622416920e+00,1.000000000000000000e+00
1.254438305912328078e+00,1.000000000000000000e+00
1.252271923989609181e+00,1.000000000000000000e+00
1.227929116491859096e+00,1.000000000000000000e+00
1.257309794712561768e+00,1.000000000000000000e+00
1.267311055141432163e+00,1.000000000000000000e+00
1.256304392521166102e+00,1.000000000000000000e+00
1.252774034823933569e+00,1.000000000000000000e+00
1.270888500738927895e+00,1.000000000000000000e+00
1.264614438652394091e+00,1.000000000000000000e+00
1.211965048402968037e+00,1.000000000000000000e+00
1.252215256348192751e+00,1.000000000000000000e+00
1.273536885004183494e+00,1.000000000000000000e+00
1.240030714914618359e+00,1.000000000000000000e+00
1.266979660009714515e+00,1.000000000000000000e+00
1.242633646666871261e+00,1.000000000000000000e+00
1.236044148336706838e+00,1.000000000000000000e+00
1.278253576611738662e+00,1.000000000000000000e+00
1.252817275124658902e+00,1.000000000000000000e+00
1.236751177846445282e+00,1.000000000000000000e+00
1.284875698008364653e+00,1.000000000000000000e+00
1.248985304430294319e+00,1.000000000000000000e+00
1.257368857668298867e+00,1.000000000000000000e+00
1.266001632023896706e+00,1.000000000000000000e+00
1.264062157688365717e+00,1.000000000000000000e+00
1.252023668484326668e+00,1.000000000000000000e+00
1.239022462891930410e+00,1.000000000000000000e+00
