m,likelihood
1.329047893772898448e+00,1.000000000000000000e+00
1.507524909350748787e+00,1.000000000000000000e+00
1.152051311880272877e+00,1.000000000000000000e+00
1.007569291168151526e+00,1.000000000000000000e+00
1.260794141464087526e+00,1.000000000000000000e+00
1.066285633024556700e+00,1.000000000000000000e+00
1.099358091288056949e+00,1.000000000000000000e+00
1.259007073639774266e+00,1.000000000000000000e+00
1.248817119772853479e+00,1.000000000000000000e+00
1.184537736753589865e+00,1.000000000000000000e+00
1.162332422404446675e+00,1.000000000000000000e+00
1.254982917523310482e+00,1.000000000000000000e+00
1.263045082128853025e+00,1.000000000000000000e+00
1.124433852241249143e+00,1.000000000000000000e+00
1.261704844931887060e+00,1.000000000000000000e+00
1.201843208499048465e+00,1.000000000000000000e+00
1.202452557199332972e+00,1.000000000000000000e+00
1.092671703963954188e+00,1.000000000000000000e+00
1.307592764242036854e+00,1.000000000000000000e+00
1.139591936018919949e+00,1.000000000000000000e+00
1.319805184122947894e+00,1.000000000000000000e+00
1.219399243594618376e+00,1.000000000000000000e+00
1.224875449036058050e+00,1.000000000000000000e+00
1.362191570691010822e+00,1.000000000000000000e+00
1.308909521196006009e+00,1.000000000000000000e+00
1.123445175418796182e+00,1.000000000000000000e+00
1.265317020488197608e+00,1.000000000000000000e+00
1.343890130315140707e+00,1.000000000000000000e+00
1.084783219957275113e+00,1.000000000000000000e+00
1.215202897098058843e+00,1.000000000000000000e+00
1.154868958608019192e+00,1.000000000000000000e+00
1.231143550749641991e+00,1.000000000000000000e+00
1.182681968945047846e+00,1.000000000000000000e+00
1.086347392100391218e+00,1.000000000000000000e+00
1.148030783890135353e+00,1.000000000000000000e+00
1.358388432998266726e+00,1.000000000000000000e+00
1.331344560955004308e+00,1.000000000000000000e+00
1.266096425978258999e+00,1.000000000000000000e+00
1.260656493380156951e+00,1.000000000000000000e+00
1.226578210308273631e+00,1.000000000000000000e+00
1.235961177572401315e+00,1.000000000000000000e+00
1.398235203832784990e+00,1.000000000000000000e+00
1.108866305342885772e+00,1.000000000000000000e+00
1.369803020441971109e+00,1.000000000000000000e+00
1.175986181582769019e+00,1.000000000000000000e+00
1.074730339671096768e+00,1.000000000000000000e+00
1.393259633835064681e+00,1.000000000000000000e+00
1.071041292218825269e+00,1.000000000000000000e+00
1.268495316059598199e+00,1.000000000000000000e+00
1.446248697134046024e+00,1.000000000000000000e+00
1.228851538045764746e+00,1.000000000000000000e+00
1.129994060017824209e+00,1.000000000000000000e+00
1.333811755519509257e+00,1.000000000000000000e+00
1.144751261415820620e+00,1.000000000000000000e+00
1.377437808411374975e+00,1.000000000000000000e+00
1.199859403151704029e+00,1.000000000000000000e+00
9.703646130872896070e-01,1.000000000000000000e+00
1.287815886697390999e+00,1.000000000000000000e+00
1.264813786812383656e+00,1.000000000000000000e+00
1.284396049265032147e+00,1.000000000000000000e+00
1.017482462628397366e+00,1.000000000000000000e+00
1.321602928313626801e+00,1.000000000000000000e+00
1.467067668672356273e+00,1.000000000000000000e+00
1.045382696864520122e+00,1.000000000000000000e+00
1.361426298617651298e+00,1.000000000000000000e+00
1.149031086843491423e+00,1.000000000000000000e+00
1.375853642956301970e+00,1.000000000000000000e+00
1.162142259150942936e+00,1.000000000000000000e+00
1.085349923534095762e+00,1.000000000000000000e+00
1.019191690074462642e+00,1.000000000000000000e+00
1.205960660095670933e+00,1.000000000000000000e+00
1.179156929936912457e+00,1.000000000000000000e+00
1.288688744622667581e+00,1.000000000000000000e+00
1.275682460076296154e+00,1.000000000000000000e+00
1.170602629905156178e+00,1.000000000000000000e+00
1.146748440347849618e+00,1.000000000000000000e+00
1.226667014532650368e+00,1.000000000000000000e+00
1.172054078781797459e+00,1.000000000000000000e+00
1.236465890387649313e+00,1.000000000000000000e+00
1.162452950418419118e+00,1.000000000000000000e+00
1.284874225807334236e+00,1.000000000000000000e+00
1.341120826387295795e+00,1.000000000000000000e+00
1.309692346883091441e+00,1.000000000000000000e+00
1.133347364857630213e+00,1.000000000000000000e+00
1.265680807727930901e+00,1.000000000000000000e+00
1.264463663535747573e+00,1.000000000000000000e+00
1.348093777548235783e+00,1.000000000000000000e+00
1.175173277574644626e+00,1.000000000000000000e+00
1.289321328794489574e+00,1.000000000000000000e+00
1.344776115450518894e+00,1.000000000000000000e+00
1.162150255926342801e+00,1.000000000000000000e+00
1.251068011810072544e+00,1.000000000000000000e+00
1.228606088318253908e+00,1.000000000000000000e+00
1.330872640423073294e+00,1.000000000000000000e+00
1.261610722440248855e+00,1.000000000000000000e+00
1.205919536425403615e+00,1.000000000000000000e+00
1.214341429026688957e+00,1.000000000000000000e+00
1.127401633370850975e+00,1.000000000000000000e+00
1.221431582856075559e+00,1.000000000000000000e+00
1.153109055504467406e+00,1.000000000000000000e+00
