m,likelihood
1.205537829369009550e+00,1.000000000000000000e+00
1.206737931835474953e+00,1.000000000000000000e+00
1.204449469312314891e+00,1.000000000000000000e+00
1.204561745166528919e+00,1.000000000000000000e+00
1.206093373582038941e+00,1.000000000000000000e+00
1.205417201955393480e+00,1.000000000000000000e+00
1.204265232975675115e+00,1.000000000000000000e+00
1.203261004875181284e+00,1.000000000000000000e+00
1.208010934809400805e+00,1.000000000000000000e+00
1.202679449222019636e+00,1.000000000000000000e+00
1.205587320399625906e+00,1.000000000000000000e+00
1.205885831644339934e+00,1.000000000000000000e+00
1.209263791947069899e+00,1.000000000000000000e+00
1.208481625005711546e+00,1.000000000000000000e+00
1.204558116241500665e+00,1.000000000000000000e+00
1.206368008256713864e+00,1.000000000000000000e+00
1.204666263191997100e+00,1.000000000000000000e+00
1.207080260923711679e+00,1.000000000000000000e+00
1.207340748578491274e+00,1.000000000000000000e+00
1.206370523139172146e+00,1.000000000000000000e+00
1.205912493071940705e+00,1.000000000000000000e+00
1.208830257062643909e+00,1.000000000000000000e+00
1.208447227488811615e+00,1.000000000000000000e+00
1.203931263490348957e+00,1.000000000000000000e+00
1.207555319652052761e+00,1.000000000000000000e+00
1.208106388888459337e+00,1.000000000000000000e+00
1.206755628710790340e+00,1.000000000000000000e+00
1.203894485813525428e+00,1.000000000000000000e+00
1.209043147091892978e+00,1.000000000000000000e+00
1.208117480923444287e+00,1.000000000000000000e+00
1.206373758557078624e+00,1.000000000000000000e+00
1.204047287263483090e+00,1.000000000000000000e+00
1.205050286570037876e+00,1.000000000000000000e+00
1.204336170059810085e+00,1.000000000000000000e+00
1.207401618229295481e+00,1.000000000000000000e+00
1.206885685016569232e+00,1.000000000000000000e+00
1.205107042116095650e+00,1.000000000000000000e+00
1.205795075759021007e+00,1.000000000000000000e+00
1.205255489672394376e+00,1.000000000000000000e+00
1.209802071470761353e+00,1.000000000000000000e+00
1.204218284835060437e+00,1.000000000000000000e+00
1.208098356667670847e+00,1.000000000000000000e+00
1.204922726811370248e+00,1.000000000000000000e+00
1.206896970882383124e+00,1.000000000000000000e+00
1.204376618867154525e+00,1.000000000000000000e+00
1.205573517404529893e+00,1.000000000000000000e+00
1.206094743630589106e+00,1.000000000000000000e+00
1.207164797993401040e+00,1.000000000000000000e+00
1.206066495784046122e+00,1.000000000000000000e+00
1.204339611488595585e+00,1.000000000000000000e+00
1.207896243002041681e+00,1.000000000000000000e+00
1.203781642297699017e+00,1.000000000000000000e+00
1.203883505389643949e+00,1.000000000000000000e+00
1.207334225541005335e+00,1.000000000000000000e+00
1.207188555260244822e+00,1.000000000000000000e+00
1.206786562059442014e+00,1.000000000000000000e+00
1.205062922480166554e+00,1.000000000000000000e+00
1.202903779924760386e+00,1.000000000000000000e+00
1.208358829870640472e+00,1.000000000000000000e+00
1.205486130190988492e+00,1.000000000000000000e+00
1.206120456907972205e+00,1.000000000000000000e+00
1.204223562155383176e+00,1.000000000000000000e+00
1.206971841981542726e+00,1.000000000000000000e+00
1.205175102207614923e+00,1.000000000000000000e+00
1.206259968975243346e+00,1.000000000000000000e+00
1.204969137579837923e+00,1.000000000000000000e+00
1.205272441853049825e+00,1.000000000000000000e+00
1.206858924059973415e+00,1.000000000000000000e+00
1.207209319485309962e+00,1.000000000000000000e+00
1.203833363659728040e+00,1.000000000000000000e+00
1.208986223303414542e+00,1.000000000000000000e+00
1.203958766274074277e+00,1.000000000000000000e+00
1.207247328871168035e+00,1.000000000000000000e+00
1.204587334652295283e+00,1.000000000000000000e+00
1.208383978877346721e+00,1.000000000000000000e+00
1.207087373899473404e+00,1.000000000000000000e+00
1.203899378861295277e+00,1.000000000000000000e+00
1.204668154668729008e+00,1.000000000000000000e+00
1.206596698056657369e+00,1.000000000000000000e+00
1.203236185043299544e+00,1.000000000000000000e+00
1.208100013811905571e+00,1.000000000000000000e+00
1.203647687642258601e+00,1.000000000000000000e+00
1.207564382588619090e+00,1.000000000000000000e+00
1.209456247301335496e+00,1.000000000000000000e+00
1.208847138860071224e+00,1.000000000000000000e+00
1.208195317816113556e+00,1.000000000000000000e+00
1.204803778075631326e+00,1.000000000000000000e+00
1.207720833581565234e+00,1.000000000000000000e+00
1.207116534931266916e+00,1.000000000000000000e+00
1.207600218563176231e+00,1.000000000000000000e+00
1.204789496791826231e+00,1.000000000000000000e+00
1.205754783550301745e+00,1.000000000000000000e+00
1.202163680186555172e+00,1.000000000000000000e+00
1.205504228350605000e+00,1.000000000000000000e+00
1.207216007002881675e+00,1.000000000000000000e+00
1.206394978869299583e+00,1.000000000000000000e+00
1.204774169263875594e+00,1.000000000000000000e+00
1.206501275770052839e+00,1.000000000000000000e+00
1.209095982992634433e+00,1.000000000000000000e+00
1.207979255702109178e+00,1.000000000000000000e+00
