m,likelihood
1.326582966467491520e+00,1.000000000000000000e+00
1.324779927115799172e+00,1.000000000000000000e+00
1.329907910248539826e+00,1.000000000000000000e+00
1.317877283781660802e+00,1.000000000000000000e+00
1.330376789762363954e+00,1.000000000000000000e+00
1.325135690780667730e+00,1.000000000000000000e+00
1.320500724089632483e+00,1.000000000000000000e+00
1.332360047742012332e+00,1.000000000000000000e+00
1.331189119930102471e+00,1.000000000000000000e+00
1.326261241198728236e+00,1.000000000000000000e+00
1.314825232123615129e+00,1.000000000000000000e+00
1.340808680907152661e+00,1.000000000000000000e+00
1.320752936778391673e+00,1.000000000000000000e+00
1.312362067518438202e+00,1.000000000000000000e+00
1.325227207001837382e+00,1.000000000000000000e+00
1.313979643243034401e+00,1.000000000000000000e+00
1.313039312749573417e+00,1.000000000000000000e+00
1.321074282725040572e+00,1.000000000000000000e+00
1.322984939590899467e+00,1.000000000000000000e+00
1.321961239267321231e+00,1.000000000000000000e+00
1.332715346415627833e+00,1.000000000000000000e+00
1.316422693277614409e+00,1.000000000000000000e+00
1.311748425097525761e+00,1.000000000000000000e+00
1.330568847029893087e+00,1.000000000000000000e+00
1.328921719229449794e+00,1.000000000000000000e+00
1.317929870064706632e+00,1.000000000000000000e+00
1.323186297451959481e+00,1.000000000000000000e+00
1.318795882350887405e+00,1.000000000000000000e+00
1.309506738926980107e+00,1.000000000000000000e+00
1.323402423547230145e+00,1.000000000000000000e+00
1.312279646180090742e+00,1.000000000000000000e+00
1.313679516113577472e+00,1.000000000000000000e+00
1.329791778484227693e+00,1.000000000000000000e+00
1.336435179533526751e+00,1.000000000000000000e+00
1.322727808667357285e+00,1.000000000000000000e+00
1.317656428748516628e+00,1.000000000000000000e+00
1.334720340367238967e+00,1.000000000000000000e+00
1.307429604358556929e+00,1.000000000000000000e+00
1.308402947316755105e+00,1.000000000000000000e+00
1.321986433009656681e+00,1.000000000000000000e+00
1.324340396019885624e+00,1.000000000000000000e+00
1.323973349637327823e+00,1.000000000000000000e+00
1.327072636058318711e+00,1.000000000000000000e+00
1.301212457566299996e+00,1.000000000000000000e+00
1.313151253157278431e+00,1.000000000000000000e+00
1.320662204546881213e+00,1.000000000000000000e+00
1.321319972864998471e+00,1.000000000000000000e+00
1.331396651464002545e+00,1.000000000000000000e+00
1.331586514504349061e+00,1.000000000000000000e+00
1.323363228303714445e+00,1.000000000000000000e+00
1.310467348285129008e+00,1.000000000000000000e+00
1.325911126418285235e+00,1.000000000000000000e+00
1.319584033230559061e+00,1.000000000000000000e+00
1.332639428251203517e+00,1.000000000000000000e+00
1.337404912193282502e+00,1.000000000000000000e+00
1.314366444271851231e+00,1.000000000000000000e+00
1.308094391365439257e+00,1.000000000000000000e+00
1.318727085363545326e+00,1.000000000000000000e+00
1.299113577984310597e+00,1.000000000000000000e+00
1.328994379264658354e+00,1.000000000000000000e+00
1.321744639591758252e+00,1.000000000000000000e+00
1.337268333567445344e+00,1.000000000000000000e+00
1.330343009542384047e+00,1.000000000000000000e+00
1.317452442414093206e+00,1.000000000000000000e+00
1.325978281621578825e+00,1.000000000000000000e+00
1.322862483573566061e+00,1.000000000000000000e+00
1.331640658009508593e+00,1.000000000000000000e+00
1.314874385836167781e+00,1.000000000000000000e+00
1.306945988429267791e+00,1.000000000000000000e+00
1.321468343053965988e+00,1.000000000000000000e+00
1.335253841933081498e+00,1.000000000000000000e+00
1.335233693967466051e+00,1.000000000000000000e+00
1.325062841685825221e+00,1.000000000000000000e+00
1.309607765525152345e+00,1.000000000000000000e+00
1.312333598760331732e+00,1.000000000000000000e+00
1.318572233994262266e+00,1.000000000000000000e+00
1.322499308570250776e+00,1.000000000000000000e+00
1.321722046445166221e+00,1.000000000000000000e+00
1.322322339300001648e+00,1.000000000000000000e+00
1.288657278103225057e+00,1.000000000000000000e+00
1.317152165686125365e+00,1.000000000000000000e+00
1.320465258177302870e+00,1.000000000000000000e+00
1.317554777714069925e+00,1.000000000000000000e+00
1.336801872861810070e+00,1.000000000000000000e+00
1.320990113940572863e+00,1.000000000000000000e+00
1.317183713233226028e+00,1.000000000000000000e+00
1.320802782191093483e+00,1.000000000000000000e+00
1.313518279449797266e+00,1.000000000000000000e+00
1.340004051858413536e+00,1.000000000000000000e+00
1.326237598574944165e+00,1.000000000000000000e+00
1.326157103588379682e+00,1.000000000000000000e+00
1.325201077209139155e+00,1.000000000000000000e+00
1.331200953074918036e+00,1.000000000000000000e+00
1.325853140708090905e+00,1.000000000000000000e+00
1.322809672102291945e+00,1.000000000000000000e+00
1.321636456304837060e+00,1.000000000000000000e+00
1.328705002636971333e+00,1.000000000000000000e+00
1.322561598281225770e+00,1.000000000000000000e+00
1.306192671116381154e+00,1.000000000000000000e+00
1.324008882295280687e+00,1.000000000000000000e+00
