m,likelihood
1.273459674402285913e+00,1.000000000000000000e+00
1.326024858868954936e+00,1.000000000000000000e+00
1.297027653134666947e+00,1.000000000000000000e+00
1.319036269832978725e+00,1.000000000000000000e+00
1.413788528375908182e+00,1.000000000000000000e+00
1.282238084230676423e+00,1.000000000000000000e+00
1.225135695941388825e+00,1.000000000000000000e+00
1.370723141532744771e+00,1.000000000000000000e+00
1.309030071894337732e+00,1.000000000000000000e+00
1.231001577486615872e+00,1.000000000000000000e+00
1.407802098845915006e+00,1.000000000000000000e+00
1.300612959535912605e+00,1.000000000000000000e+00
1.264073152212129347e+00,1.000000000000000000e+00
1.422704565954774569e+00,1.000000000000000000e+00
1.293667046044722158e+00,1.000000000000000000e+00
1.328735996493055183e+00,1.000000000000000000e+00
1.445847386474543805e+00,1.000000000000000000e+00
1.342075305434817345e+00,1.000000000000000000e+00
1.462809093394193294e+00,1.000000000000000000e+00
1.213187917930080628e+00,1.000000000000000000e+00
1.399510754066160212e+00,1.000000000000000000e+00
1.332562171146213004e+00,1.000000000000000000e+00
1.182600964943099742e+00,1.000000000000000000e+00
1.386088286679162396e+00,1.000000000000000000e+00
1.369882915169280180e+00,1.000000000000000000e+00
1.303325015103120599e+00,1.000000000000000000e+00
1.204572548781897234e+00,1.000000000000000000e+00
1.346758678870058068e+00,1.000000000000000000e+00
1.333991065941364518e+00,1.000000000000000000e+00
1.409677723229487700e+00,1.000000000000000000e+00
1.376384485496540133e+00,1.000000000000000000e+00
1.455576871442933573e+00,1.000000000000000000e+00
1.413029961622206399e+00,1.000000000000000000e+00
1.397097303835839188e+00,1.000000000000000000e+00
1.329568962254078723e+00,1.000000000000000000e+00
1.515790940449734281e+00,1.000000000000000000e+00
1.347050355734868088e+00,1.000000000000000000e+00
1.311187057046680371e+00,1.000000000000000000e+00
1.344248611752430822e+00,1.000000000000000000e+00
1.423045853429709240e+00,1.000000000000000000e+00
1.290325306457157151e+00,1.000000000000000000e+00
1.323765178448626845e+00,1.000000000000000000e+00
1.347966116707987494e+00,1.000000000000000000e+00
1.430350374468180696e+00,1.000000000000000000e+00
1.302333337136558633e+00,1.000000000000000000e+00
1.295449941051265874e+00,1.000000000000000000e+00
1.405967887218698920e+00,1.000000000000000000e+00
1.254687947132443471e+00,1.000000000000000000e+00
1.422218907065643245e+00,1.000000000000000000e+00
1.423927270787858967e+00,1.000000000000000000e+00
1.352104435687818906e+00,1.000000000000000000e+00
1.296614410917499738e+00,1.000000000000000000e+00
1.310546671721944278e+00,1.000000000000000000e+00
1.342903795855973748e+00,1.000000000000000000e+00
1.335792227968557677e+00,1.000000000000000000e+00
1.374426691222091046e+00,1.000000000000000000e+00
1.390976574476783245e+00,1.000000000000000000e+00
1.316439988510353265e+00,1.000000000000000000e+00
1.271430336612092038e+00,1.000000000000000000e+00
1.293526632671010423e+00,1.000000000000000000e+00
1.355843432100503732e+00,1.000000000000000000e+00
1.188421523348803355e+00,1.000000000000000000e+00
1.499961145860535083e+00,1.000000000000000000e+00
1.225484834537090340e+00,1.000000000000000000e+00
1.395981722895257349e+00,1.000000000000000000e+00
1.367149100146234142e+00,1.000000000000000000e+00
1.344634631121057078e+00,1.000000000000000000e+00
1.236018646871629212e+00,1.000000000000000000e+00
1.302901604180876305e+00,1.000000000000000000e+00
1.428475577983869815e+00,1.000000000000000000e+00
1.212426688219100601e+00,1.000000000000000000e+00
1.378378827579872068e+00,1.000000000000000000e+00
1.347967247194114870e+00,1.000000000000000000e+00
1.359316733809688760e+00,1.000000000000000000e+00
1.370878494319448082e+00,1.000000000000000000e+00
1.431914158678601057e+00,1.000000000000000000e+00
1.430128252742679296e+00,1.000000000000000000e+00
1.260208410506632015e+00,1.000000000000000000e+00
1.334630701740811887e+00,1.000000000000000000e+00
1.271141551981566975e+00,1.000000000000000000e+00
1.325071754314507411e+00,1.000000000000000000e+00
1.540908072482619184e+00,1.000000000000000000e+00
1.420563183707846067e+00,1.000000000000000000e+00
1.349857482163745681e+00,1.000000000000000000e+00
1.303777282317565955e+00,1.000000000000000000e+00
1.382465714379955468e+00,1.000000000000000000e+00
1.278257460386545974e+00,1.000000000000000000e+00
1.324369496553545522e+00,1.000000000000000000e+00
1.308718078880143798e+00,1.000000000000000000e+00
1.290509501575217932e+00,1.000000000000000000e+00
1.416373104248045633e+00,1.000000000000000000e+00
1.363077339782495567e+00,1.000000000000000000e+00
1.419277930521533726e+00,1.000000000000000000e+00
1.401530909866260721e+00,1.000000000000000000e+00
1.227557104981209068e+00,1.000000000000000000e+00
1.193421814675446946e+00,1.000000000000000000e+00
1.414140108755552516e+00,1.000000000000000000e+00
1.373578557703378999e+00,1.000000000000000000e+00
1.412717477589165105e+00,1.000000000000000000e+00
1.291923745086368092e+00,1.000000000000000000e+00
