m,likelihood
1.417807587398110636e+00,1.000000000000000000e+00
1.467139487282155930e+00,1.000000000000000000e+00
1.584320698830786300e+00,1.000000000000000000e+00
1.453409871851430335e+00,1.000000000000000000e+00
1.509788448717550358e+00,1.000000000000000000e+00
1.631117519341916733e+00,1.000000000000000000e+00
1.713940537607665071e+00,1.000000000000000000e+00
1.467093604241404892e+00,1.000000000000000000e+00
1.564387512907930544e+00,1.000000000000000000e+00
1.431055587529599826e+00,1.000000000000000000e+00
1.599820353598392586e+00,1.000000000000000000e+00
1.623987123632013807e+00,1.000000000000000000e+00
1.616925084610711272e+00,1.000000000000000000e+00
1.489932183446847302e+00,1.000000000000000000e+00
1.535019866983645676e+00,1.000000000000000000e+00
1.705574457993736637e+00,1.000000000000000000e+00
1.755057382574304548e+00,1.000000000000000000e+00
1.561387545303697166e+00,1.000000000000000000e+00
1.362849625742148962e+00,1.000000000000000000e+00
1.598385094375034621e+00,1.000000000000000000e+00
1.505861936945959156e+00,1.000000000000000000e+00
1.421763643035803382e+00,1.000000000000000000e+00
1.412785890325896299e+00,1.000000000000000000e+00
1.589581139518513986e+00,1.000000000000000000e+00
1.531188800999962352e+00,1.000000000000000000e+00
1.452183468050278314e+00,1.000000000000000000e+00
1.525362665674314666e+00,1.000000000000000000e+00
1.543629594396034754e+00,1.000000000000000000e+00
1.529474952464360493e+00,1.000000000000000000e+00
1.654865330346058316e+00,1.000000000000000000e+00
1.551835211068934406e+00,1.000000000000000000e+00
1.482028338267812773e+00,1.000000000000000000e+00
1.707085692769813923e+00,1.000000000000000000e+00
1.337913422503901328e+00,1.000000000000000000e+00
1.443784751058719840e+00,1.000000000000000000e+00
1.429726631468333231e+00,1.000000000000000000e+00
1.584732654832921250e+00,1.000000000000000000e+00
1.663276855596344195e+00,1.000000000000000000e+00
1.501413543515448312e+00,1.000000000000000000e+00
1.500840439278024574e+00,1.000000000000000000e+00
1.697361786471607514e+00,1.000000000000000000e+00
1.490747186285703796e+00,1.000000000000000000e+00
1.583803021054193794e+00,1.000000000000000000e+00
1.685982557795210779e+00,1.000000000000000000e+00
1.575114064925739799e+00,1.000000000000000000e+00
1.640299990542832598e+00,1.000000000000000000e+00
1.704682707328392555e+00,1.000000000000000000e+00
1.614818845636837752e+00,1.000000000000000000e+00
1.449798279049708816e+00,1.000000000000000000e+00
1.481691649466226890e+00,1.000000000000000000e+00
1.659701920256943186e+00,1.000000000000000000e+00
1.615980387604519342e+00,1.000000000000000000e+00
1.583188275286423030e+00,1.000000000000000000e+00
1.477016185804846504e+00,1.000000000000000000e+00
1.843353294786751917e+00,1.000000000000000000e+00
1.416832544466807731e+00,1.000000000000000000e+00
1.657658020956257250e+00,1.000000000000000000e+00
1.683384308130515761e+00,1.000000000000000000e+00
1.425238443583874748e+00,1.000000000000000000e+00
1.587888051688626900e+00,1.000000000000000000e+00
1.704419605772038659e+00,1.000000000000000000e+00
1.468592300554200092e+00,1.000000000000000000e+00
1.508623332356706426e+00,1.000000000000000000e+00
1.532492491338577567e+00,1.000000000000000000e+00
1.639579452969673223e+00,1.000000000000000000e+00
1.692706093481783913e+00,1.000000000000000000e+00
1.743845517392456079e+00,1.000000000000000000e+00
1.538376871499639087e+00,1.000000000000000000e+00
1.366535696741840500e+00,1.000000000000000000e+00
1.597234971593430641e+00,1.000000000000000000e+00
1.433756545178205277e+00,1.000000000000000000e+00
1.633190062597692949e+00,1.000000000000000000e+00
1.446925278102491053e+00,1.000000000000000000e+00
1.677721454612343344e+00,1.000000000000000000e+00
1.584265489711632835e+00,1.000000000000000000e+00
1.445448998830738407e+00,1.000000000000000000e+00
1.484637891677117238e+00,1.000000000000000000e+00
1.434878075760133598e+00,1.000000000000000000e+00
1.765908543390554364e+00,1.000000000000000000e+00
1.625883990367389398e+00,1.000000000000000000e+00
1.692801747555805258e+00,1.000000000000000000e+00
1.364563324297737523e+00,1.000000000000000000e+00
1.389791750142837623e+00,1.000000000000000000e+00
1.717165051877164172e+00,1.000000000000000000e+00
1.619070896826970252e+00,1.000000000000000000e+00
1.567912694058058554e+00,1.000000000000000000e+00
1.591215909111569626e+00,1.000000000000000000e+00
1.715534454177183754e+00,1.000000000000000000e+00
1.421151964221444075e+00,1.000000000000000000e+00
1.475171546439536074e+00,1.000000000000000000e+00
1.486617732789459190e+00,1.000000000000000000e+00
1.607772259215440869e+00,1.000000000000000000e+00
1.489913762957215893e+00,1.000000000000000000e+00
1.422816808003616540e+00,1.000000000000000000e+00
1.546126529494747270e+00,1.000000000000000000e+00
1.441279037970502053e+00,1.000000000000000000e+00
1.530680772932797140e+00,1.000000000000000000e+00
1.327877757728999741e+00,1.000000000000000000e+00
1.472407422769432594e+00,1.000000000000000000e+00
1.647848237730482834e+00,1.000000000000000000e+00
