m,likelihood
1.755694334559538161e+00,1.000000000000000000e+00
1.749496579105063843e+00,1.000000000000000000e+00
1.862566692896310272e+00,1.000000000000000000e+00
1.656347134764543982e+00,1.000000000000000000e+00
1.230881718884417442e+00,1.000000000000000000e+00
1.738869056433467675e+00,1.000000000000000000e+00
1.658893332202545645e+00,1.000000000000000000e+00
1.936637089354302788e+00,1.000000000000000000e+00
1.733447413990329533e+00,1.000000000000000000e+00
2.105368094445114746e+00,1.000000000000000000e+00
1.784237120709690316e+00,1.000000000000000000e+00
1.785621255728657930e+00,1.000000000000000000e+00
1.693551053211254320e+00,1.000000000000000000e+00
1.691282778610377902e+00,1.000000000000000000e+00
1.812243036935676122e+00,1.000000000000000000e+00
1.635883321155753301e+00,1.000000000000000000e+00
1.574183702009097408e+00,1.000000000000000000e+00
1.785197678132242283e+00,1.000000000000000000e+00
1.998128816111407691e+00,1.000000000000000000e+00
1.890459665130747036e+00,1.000000000000000000e+00
1.861415947184305253e+00,1.000000000000000000e+00
1.996638033294232617e+00,1.000000000000000000e+00
1.692394456290716942e+00,1.000000000000000000e+00
1.985669990224776749e+00,1.000000000000000000e+00
1.815570999432809529e+00,1.000000000000000000e+00
1.668745444375698828e+00,1.000000000000000000e+00
2.082153817275400165e+00,1.000000000000000000e+00
1.587936072214122696e+00,1.000000000000000000e+00
1.983147884350527690e+00,1.000000000000000000e+00
1.382610745082438974e+00,1.000000000000000000e+00
1.899693863177221775e+00,1.000000000000000000e+00
1.934975526437487714e+00,1.000000000000000000e+00
1.912414272297261908e+00,1.000000000000000000e+00
1.851694363911296826e+00,1.000000000000000000e+00
1.699030326280131176e+00,1.000000000000000000e+00
1.733008870044929095e+00,1.000000000000000000e+00
1.017082701503997377e+00,1.000000000000000000e+00
1.458381002320927378e+00,1.000000000000000000e+00
1.791409150046005205e+00,1.000000000000000000e+00
1.249631063259254660e+00,1.000000000000000000e+00
1.954229114616107710e+00,1.000000000000000000e+00
1.538161218828440147e+00,1.000000000000000000e+00
1.969705656190310572e+00,1.000000000000000000e+00
1.791898058204953292e+00,1.000000000000000000e+00
1.485093627168089014e+00,1.000000000000000000e+00
1.416570540595054828e+00,1.000000000000000000e+00
1.845510850716154838e+00,1.000000000000000000e+00
1.376963801684990552e+00,1.000000000000000000e+00
1.534789715044280189e+00,1.000000000000000000e+00
1.263342096228652345e+00,1.000000000000000000e+00
1.816220929370507609e+00,1.000000000000000000e+00
2.443073535848723665e+00,1.000000000000000000e+00
2.089858767874162027e+00,1.000000000000000000e+00
1.534461047874274175e+00,1.000000000000000000e+00
1.627665712043981028e+00,1.000000000000000000e+00
1.872963307490726370e+00,1.000000000000000000e+00
1.376390039486278472e+00,1.000000000000000000e+00
1.494386347247305125e+00,1.000000000000000000e+00
2.065731826410582617e+00,1.000000000000000000e+00
8.827452172024405908e-01,1.000000000000000000e+00
2.064826353006070647e+00,1.000000000000000000e+00
1.685285080976163918e+00,1.000000000000000000e+00
2.148777392913948425e+00,1.000000000000000000e+00
1.896049427310336766e+00,1.000000000000000000e+00
1.479262287750520377e+00,1.000000000000000000e+00
1.736820440084009487e+00,1.000000000000000000e+00
1.618697791418260756e+00,1.000000000000000000e+00
2.027730433116281539e+00,1.000000000000000000e+00
2.103168769553565021e+00,1.000000000000000000e+00
1.589063751938062152e+00,1.000000000000000000e+00
1.804257424409755561e+00,1.000000000000000000e+00
1.863650179813684193e+00,1.000000000000000000e+00
1.686931333088853568e+00,1.000000000000000000e+00
1.511370747363669942e+00,1.000000000000000000e+00
1.682656267151283247e+00,1.000000000000000000e+00
1.612920057130801332e+00,1.000000000000000000e+00
1.786326901741776885e+00,1.000000000000000000e+00
1.563093475404843335e+00,1.000000000000000000e+00
1.880518027026447436e+00,1.000000000000000000e+00
1.654510691996899041e+00,1.000000000000000000e+00
1.709557737192850313e+00,1.000000000000000000e+00
1.705165880542923507e+00,1.000000000000000000e+00
1.961816989966403746e+00,1.000000000000000000e+00
1.580042039674456333e+00,1.000000000000000000e+00
1.546144081092090783e+00,1.000000000000000000e+00
1.669118775928398968e+00,1.000000000000000000e+00
1.589458342454319828e+00,1.000000000000000000e+00
1.944572095305276527e+00,1.000000000000000000e+00
1.401325564749429375e+00,1.000000000000000000e+00
1.762967181969848918e+00,1.000000000000000000e+00
1.706930156369759199e+00,1.000000000000000000e+00
1.532409905565413233e+00,1.000000000000000000e+00
1.553532874249205609e+00,1.000000000000000000e+00
1.554769944667214299e+00,1.000000000000000000e+00
1.762351084938187595e+00,1.000000000000000000e+00
1.777272605100481684e+00,1.000000000000000000e+00
1.511002781883013846e+00,1.000000000000000000e+00
1.520942058297162003e+00,1.000000000000000000e+00
1.480901579587802885e+00,1.000000000000000000e+00
1.954668307361232316e+00,1.000000000000000000e+00
