m,likelihood
1.884594971103288774e+00,1.000000000000000000e+00
1.781413445594310252e+00,1.000000000000000000e+00
1.657221870262847174e+00,1.000000000000000000e+00
1.938548848036136363e+00,1.000000000000000000e+00
1.643032641551601225e+00,1.000000000000000000e+00
1.355606021831081254e+00,1.000000000000000000e+00
1.407310060896506787e+00,1.000000000000000000e+00
1.072965586812201888e+00,1.000000000000000000e+00
1.699556821064587719e+00,1.000000000000000000e+00
1.570793954308538298e+00,1.000000000000000000e+00
1.604010482557498563e+00,1.000000000000000000e+00
1.610115501992577247e+00,1.000000000000000000e+00
1.472638028263345999e+00,1.000000000000000000e+00
1.838072282126688162e+00,1.000000000000000000e+00
1.707109008973063613e+00,1.000000000000000000e+00
1.314551208814080052e+00,1.000000000000000000e+00
1.832615593638408313e+00,1.000000000000000000e+00
1.755299826578954336e+00,1.000000000000000000e+00
1.161030378343415714e+00,1.000000000000000000e+00
1.772832726238626533e+00,1.000000000000000000e+00
1.597998232044699707e+00,1.000000000000000000e+00
1.641634442587232900e+00,1.000000000000000000e+00
1.863423464145076203e+00,1.000000000000000000e+00
1.501140028312292873e+00,1.000000000000000000e+00
1.902070544988657241e+00,1.000000000000000000e+00
1.510212649848146294e+00,1.000000000000000000e+00
1.446033489800018668e+00,1.000000000000000000e+00
1.458529428507206793e+00,1.000000000000000000e+00
1.360222180122319768e+00,1.000000000000000000e+00
1.679707623572492148e+00,1.000000000000000000e+00
1.087390108176792491e+00,1.000000000000000000e+00
1.807078934445970564e+00,1.000000000000000000e+00
1.651447718942850917e+00,1.000000000000000000e+00
1.676283879137749899e+00,1.000000000000000000e+00
1.603034607530586797e+00,1.000000000000000000e+00
1.828891256605097881e+00,1.000000000000000000e+00
1.953853344358025712e+00,1.000000000000000000e+00
1.312266254984049363e+00,1.000000000000000000e+00
1.235579322666782831e+00,1.000000000000000000e+00
1.809942014446590308e+00,1.000000000000000000e+00
1.651508628725781413e+00,1.000000000000000000e+00
1.194592380108019825e+00,1.000000000000000000e+00
1.708963703824647240e+00,1.000000000000000000e+00
1.777406147361846100e+00,1.000000000000000000e+00
1.961039097341372495e+00,1.000000000000000000e+00
1.516628886583572644e+00,1.000000000000000000e+00
1.590961487159358034e+00,1.000000000000000000e+00
1.413952663984733293e+00,1.000000000000000000e+00
1.924229206570950534e+00,1.000000000000000000e+00
1.566543414674690160e+00,1.000000000000000000e+00
1.430871788513530696e+00,1.000000000000000000e+00
1.405008379243836814e+00,1.000000000000000000e+00
1.283222261575852619e+00,1.000000000000000000e+00
1.752120571323153353e+00,1.000000000000000000e+00
1.801792989112720678e+00,1.000000000000000000e+00
1.742964050908846874e+00,1.000000000000000000e+00
1.864760998841195505e+00,1.000000000000000000e+00
1.278665072976883144e+00,1.000000000000000000e+00
1.414801555127181754e+00,1.000000000000000000e+00
1.162953316674678605e+00,1.000000000000000000e+00
1.959012035951383401e+00,1.000000000000000000e+00
2.109861162459473416e+00,1.000000000000000000e+00
1.733111042120800027e+00,1.000000000000000000e+00
1.508408390307882430e+00,1.000000000000000000e+00
1.689534726653075136e+00,1.000000000000000000e+00
1.420765140723890152e+00,1.000000000000000000e+00
1.777572872699432649e+00,1.000000000000000000e+00
1.813681306212488575e+00,1.000000000000000000e+00
1.638644088774720675e+00,1.000000000000000000e+00
1.945220940343231453e+00,1.000000000000000000e+00
1.391539063785506292e+00,1.000000000000000000e+00
1.540663823857164161e+00,1.000000000000000000e+00
1.557424204515746702e+00,1.000000000000000000e+00
1.607044912503795331e+00,1.000000000000000000e+00
1.499391885285858095e+00,1.000000000000000000e+00
1.949495549748998080e+00,1.000000000000000000e+00
2.071846738081387862e+00,1.000000000000000000e+00
1.593666547252276855e+00,1.000000000000000000e+00
1.352428016640751407e+00,1.000000000000000000e+00
1.934861015546523344e+00,1.000000000000000000e+00
1.944477473305900483e+00,1.000000000000000000e+00
1.277027119456412674e+00,1.000000000000000000e+00
1.329752929223599001e+00,1.000000000000000000e+00
1.670025768995072601e+00,1.000000000000000000e+00
1.564644111027887252e+00,1.000000000000000000e+00
1.555698679884520486e+00,1.000000000000000000e+00
1.336665649960414815e+00,1.000000000000000000e+00
1.950242410795514969e+00,1.000000000000000000e+00
1.676038582600401394e+00,1.000000000000000000e+00
1.687922397352750625e+00,1.000000000000000000e+00
1.687102811873311792e+00,1.000000000000000000e+00
1.583836289526824981e+00,1.000000000000000000e+00
1.852336409800036776e+00,1.000000000000000000e+00
1.814195540308221943e+00,1.000000000000000000e+00
1.873955737269275890e+00,1.000000000000000000e+00
1.685699974516278399e+00,1.000000000000000000e+00
1.613718825040737936e+00,1.000000000000000000e+00
2.201104040508462756e+00,1.000000000000000000e+00
1.784616885357577010e+00,1.000000000000000000e+00
1.649577364831316784e+00,1.000000000000000000e+00
