m,likelihood
1.260519672859334195e+00,1.000000000000000000e+00
1.327455287980718657e+00,1.000000000000000000e+00
1.334610829703040347e+00,1.000000000000000000e+00
1.513341675909520401e+00,1.000000000000000000e+00
1.142905270994294842e+00,1.000000000000000000e+00
1.280347179627436383e+00,1.000000000000000000e+00
1.165662211711908869e+00,1.000000000000000000e+00
1.168225575708221609e+00,1.000000000000000000e+00
1.272376099523149451e+00,1.000000000000000000e+00
1.213027263723916116e+00,1.000000000000000000e+00
1.240542023048964326e+00,1.000000000000000000e+00
1.060547582957010793e+00,1.000000000000000000e+00
1.116928628765109455e+00,1.000000000000000000e+00
1.152533538721787654e+00,1.000000000000000000e+00
1.210939023939992865e+00,1.000000000000000000e+00
1.444830298336698293e+00,1.000000000000000000e+00
1.124689644550198597e+00,1.000000000000000000e+00
1.125874777445290187e+00,1.000000000000000000e+00
1.275932731161489642e+00,1.000000000000000000e+00
1.188609266717018720e+00,1.000000000000000000e+00
1.307613217576844900e+00,1.000000000000000000e+00
1.385761889941894198e+00,1.000000000000000000e+00
1.355502944022813683e+00,1.000000000000000000e+00
1.288687299704432743e+00,1.000000000000000000e+00
1.203752588724974038e+00,1.000000000000000000e+00
1.178086328317483611e+00,1.000000000000000000e+00
1.551355436630887485e+00,1.000000000000000000e+00
1.082139049163816313e+00,1.000000000000000000e+00
1.132955579467605389e+00,1.000000000000000000e+00
1.294902779907995960e+00,1.000000000000000000e+00
1.250757067366335518e+00,1.000000000000000000e+00
1.107220201630239487e+00,1.000000000000000000e+00
1.031255692560861803e+00,1.000000000000000000e+00
1.172817535107839593e+00,1.000000000000000000e+00
1.279259125618392945e+00,1.000000000000000000e+00
1.189788460000807291e+00,1.000000000000000000e+00
1.173316113650943349e+00,1.000000000000000000e+00
1.308768689091506898e+00,1.000000000000000000e+00
1.353526971917655253e+00,1.000000000000000000e+00
1.233351032805400038e+00,1.000000000000000000e+00
1.169305614025533346e+00,1.000000000000000000e+00
1.407711393043073134e+00,1.000000000000000000e+00
1.084501584919943973e+00,1.000000000000000000e+00
1.193816586690943149e+00,1.000000000000000000e+00
1.363431493363437275e+00,1.000000000000000000e+00
1.189213631745348554e+00,1.000000000000000000e+00
1.186394981111030811e+00,1.000000000000000000e+00
1.223465204207362378e+00,1.000000000000000000e+00
1.223636956244672502e+00,1.000000000000000000e+00
1.303342869265855519e+00,1.000000000000000000e+00
1.252675775749134912e+00,1.000000000000000000e+00
1.095746781240347412e+00,1.000000000000000000e+00
1.191461769409105420e+00,1.000000000000000000e+00
9.307759706376574904e-01,1.000000000000000000e+00
1.336070274161300642e+00,1.000000000000000000e+00
1.225171267964865640e+00,1.000000000000000000e+00
1.070244658027529772e+00,1.000000000000000000e+00
1.074995320885688832e+00,1.000000000000000000e+00
1.218289440583581351e+00,1.000000000000000000e+00
1.245011201636258891e+00,1.000000000000000000e+00
1.302982219379159590e+00,1.000000000000000000e+00
1.257926707705260938e+00,1.000000000000000000e+00
1.274840072850181860e+00,1.000000000000000000e+00
1.167063241626887793e+00,1.000000000000000000e+00
1.154987161594051237e+00,1.000000000000000000e+00
1.331349945265367651e+00,1.000000000000000000e+00
1.049580183061856964e+00,1.000000000000000000e+00
1.265758312439092759e+00,1.000000000000000000e+00
1.130995781554893886e+00,1.000000000000000000e+00
1.334697327633640684e+00,1.000000000000000000e+00
1.180952070831891465e+00,1.000000000000000000e+00
1.021998131869931381e+00,1.000000000000000000e+00
1.351416621405522767e+00,1.000000000000000000e+00
1.189023054215122555e+00,1.000000000000000000e+00
1.120543238735697944e+00,1.000000000000000000e+00
1.331672997834156824e+00,1.000000000000000000e+00
1.246645958448792335e+00,1.000000000000000000e+00
1.340100159789777701e+00,1.000000000000000000e+00
1.273356870000802443e+00,1.000000000000000000e+00
1.260221526786224011e+00,1.000000000000000000e+00
1.203095203547832170e+00,1.000000000000000000e+00
1.052238024557809792e+00,1.000000000000000000e+00
1.109125017163156812e+00,1.000000000000000000e+00
1.022812475027209400e+00,1.000000000000000000e+00
1.165954580294074061e+00,1.000000000000000000e+00
1.352404670175332502e+00,1.000000000000000000e+00
1.314961531219166258e+00,1.000000000000000000e+00
1.331862808806990817e+00,1.000000000000000000e+00
1.256667068521099662e+00,1.000000000000000000e+00
1.258221229511486960e+00,1.000000000000000000e+00
1.140491487419614147e+00,1.000000000000000000e+00
1.242341048516152568e+00,1.000000000000000000e+00
1.225087445884265103e+00,1.000000000000000000e+00
1.019242625853322703e+00,1.000000000000000000e+00
1.232068421607665831e+00,1.000000000000000000e+00
1.238203088770038596e+00,1.000000000000000000e+00
1.318223619580286332e+00,1.000000000000000000e+00
1.104958406650056624e+00,1.000000000000000000e+00
1.186531539814535741e+00,1.000000000000000000e+00
1.375503997782119736e+00,1.000000000000000000e+00
