m,likelihood
2.252116787601160297e+00,1.000000000000000000e+00
1.829436121084926814e+00,1.000000000000000000e+00
2.160024140102481116e+00,1.000000000000000000e+00
2.145376858642751738e+00,1.000000000000000000e+00
2.210951460749826403e+00,1.000000000000000000e+00
2.114299995938572874e+00,1.000000000000000000e+00
2.184639021664969594e+00,1.000000000000000000e+00
2.161042700396630600e+00,1.000000000000000000e+00
2.365237926296395621e+00,1.000000000000000000e+00
1.946915971298378345e+00,1.000000000000000000e+00
2.150641871560535101e+00,1.000000000000000000e+00
2.027970163995953534e+00,1.000000000000000000e+00
1.918524269551074690e+00,1.000000000000000000e+00
2.071568664147367400e+00,1.000000000000000000e+00
2.239659124493440512e+00,1.000000000000000000e+00
2.351968354818240403e+00,1.000000000000000000e+00
2.072283061373366930e+00,1.000000000000000000e+00
1.853901937898655872e+00,1.000000000000000000e+00
2.080886574227858166e+00,1.000000000000000000e+00
2.285618202094224838e+00,1.000000000000000000e+00
2.151384257857758886e+00,1.000000000000000000e+00
2.166303748125144146e+00,1.000000000000000000e+00
2.141651483466540551e+00,1.000000000000000000e+00
1.968350014872107590e+00,1.000000000000000000e+00
1.982097973112098899e+00,1.000000000000000000e+00
2.138648714691616437e+00,1.000000000000000000e+00
2.345968899160610022e+00,1.000000000000000000e+00
2.360021728350234937e+00,1.000000000000000000e+00
2.031632199524076920e+00,1.000000000000000000e+00
2.177996248724015871e+00,1.000000000000000000e+00
2.294433905311782596e+00,1.000000000000000000e+00
1.831365053288547484e+00,1.000000000000000000e+00
2.261825783608756080e+00,1.000000000000000000e+00
2.095259311745117703e+00,1.000000000000000000e+00
2.322039945801310790e+00,1.000000000000000000e+00
2.081276242585509362e+00,1.000000000000000000e+00
1.942465466774183858e+00,1.000000000000000000e+00
2.110619026005456700e+00,1.000000000000000000e+00
2.197544872100994695e+00,1.000000000000000000e+00
2.353765810398158020e+00,1.000000000000000000e+00
1.973622020265998644e+00,1.000000000000000000e+00
2.000432101672237728e+00,1.000000000000000000e+00
2.116843521924224536e+00,1.000000000000000000e+00
1.815442355119325279e+00,1.000000000000000000e+00
2.204762114900837844e+00,1.000000000000000000e+00
2.145925714132027373e+00,1.000000000000000000e+00
1.859113004207356035e+00,1.000000000000000000e+00
2.053277927820410298e+00,1.000000000000000000e+00
1.933818670034939124e+00,1.000000000000000000e+00
2.070430234703795502e+00,1.000000000000000000e+00
2.125559661485465490e+00,1.000000000000000000e+00
2.155873125182094618e+00,1.000000000000000000e+00
2.155930623756727726e+00,1.000000000000000000e+00
2.076893865814476658e+00,1.000000000000000000e+00
2.436568609651839523e+00,1.000000000000000000e+00
2.087469363231991615e+00,1.000000000000000000e+00
2.057606705201939334e+00,1.000000000000000000e+00
2.332811225577885228e+00,1.000000000000000000e+00
1.928628994483343018e+00,1.000000000000000000e+00
2.071288946423694988e+00,1.000000000000000000e+00
2.025255902282332876e+00,1.000000000000000000e+00
2.242767176023641174e+00,1.000000000000000000e+00
1.877665277803706401e+00,1.000000000000000000e+00
2.150260935038810661e+00,1.000000000000000000e+00
2.138560242022754743e+00,1.000000000000000000e+00
1.906577864926923382e+00,1.000000000000000000e+00
2.012777617834332844e+00,1.000000000000000000e+00
2.161984871545127529e+00,1.000000000000000000e+00
2.086559204803705825e+00,1.000000000000000000e+00
1.843136856816578018e+00,1.000000000000000000e+00
2.283150307315715111e+00,1.000000000000000000e+00
1.839904854154863045e+00,1.000000000000000000e+00
2.018847609728744441e+00,1.000000000000000000e+00
2.302168925182612735e+00,1.000000000000000000e+00
2.112555777634891996e+00,1.000000000000000000e+00
2.242078565298007753e+00,1.000000000000000000e+00
2.390804096318256633e+00,1.000000000000000000e+00
1.856699667086134431e+00,1.000000000000000000e+00
1.949314675876342218e+00,1.000000000000000000e+00
2.098851469117131607e+00,1.000000000000000000e+00
2.125381491938581391e+00,1.000000000000000000e+00
2.176058824808003944e+00,1.000000000000000000e+00
2.264963044655471158e+00,1.000000000000000000e+00
2.092553399920173973e+00,1.000000000000000000e+00
2.295727827080408900e+00,1.000000000000000000e+00
2.051611644419567781e+00,1.000000000000000000e+00
2.048812263421762481e+00,1.000000000000000000e+00
2.230499361425046345e+00,1.000000000000000000e+00
2.337117680800007147e+00,1.000000000000000000e+00
2.261147304120694645e+00,1.000000000000000000e+00
1.898233773652324041e+00,1.000000000000000000e+00
2.075555934181716022e+00,1.000000000000000000e+00
2.074105516110992919e+00,1.000000000000000000e+00
2.088644492236793937e+00,1.000000000000000000e+00
1.842173915347394386e+00,1.000000000000000000e+00
2.020500937973356503e+00,1.000000000000000000e+00
2.147670654375076982e+00,1.000000000000000000e+00
2.218613835562079917e+00,1.000000000000000000e+00
2.154636580769742960e+00,1.000000000000000000e+00
2.310398873966432731e+00,1.000000000000000000e+00
