m,likelihood
1.097319013062886484e+00,1.000000000000000000e+00
1.538395346782323925e+00,1.000000000000000000e+00
1.682186025228493476e+00,1.000000000000000000e+00
1.367670033926249085e+00,1.000000000000000000e+00
1.472952719743948480e+00,1.000000000000000000e+00
1.257789885861684942e+00,1.000000000000000000e+00
9.855672969451789722e-01,1.000000000000000000e+00
1.352243995230962392e+00,1.000000000000000000e+00
1.091783365100824632e+00,1.000000000000000000e+00
1.616603586301054385e+00,1.000000000000000000e+00
1.238796434176951289e+00,1.000000000000000000e+00
1.520243054589944132e+00,1.000000000000000000e+00
1.084566505298075523e+00,1.000000000000000000e+00
1.349856880369337153e+00,1.000000000000000000e+00
1.363517915396011526e+00,1.000000000000000000e+00
1.375341960600800828e+00,1.000000000000000000e+00
1.315683874023386268e+00,1.000000000000000000e+00
1.304037396074982036e+00,1.000000000000000000e+00
1.230907049424000199e+00,1.000000000000000000e+00
1.478063584589241586e+00,1.000000000000000000e+00
1.597495271379434145e+00,1.000000000000000000e+00
1.501468427506056802e+00,1.000000000000000000e+00
1.773620963325143629e+00,1.000000000000000000e+00
1.116583401336518122e+00,1.000000000000000000e+00
1.539202879040120875e+00,1.000000000000000000e+00
1.581194697286708584e+00,1.000000000000000000e+00
1.561797292502350443e+00,1.000000000000000000e+00
1.450841819081380546e+00,1.000000000000000000e+00
1.544153150564739674e+00,1.000000000000000000e+00
1.290823354514539778e+00,1.000000000000000000e+00
1.417188652967650953e+00,1.000000000000000000e+00
1.098942690296838443e+00,1.000000000000000000e+00
1.589662961717909218e+00,1.000000000000000000e+00
1.808446775807583728e+00,1.000000000000000000e+00
1.354383056857109802e+00,1.000000000000000000e+00
1.744577235810709670e+00,1.000000000000000000e+00
1.758434835895734905e+00,1.000000000000000000e+00
1.621348637665056547e+00,1.000000000000000000e+00
1.135919195913444035e+00,1.000000000000000000e+00
1.748395022632379447e+00,1.000000000000000000e+00
1.674252537041364342e+00,1.000000000000000000e+00
1.505422676319901898e+00,1.000000000000000000e+00
1.630484737162330999e+00,1.000000000000000000e+00
1.287360991715815528e+00,1.000000000000000000e+00
2.023060544939570882e+00,1.000000000000000000e+00
1.508588801887256858e+00,1.000000000000000000e+00
1.274015734755938656e+00,1.000000000000000000e+00
1.361628421865007432e+00,1.000000000000000000e+00
1.808916394103093905e+00,1.000000000000000000e+00
1.227579041572070206e+00,1.000000000000000000e+00
1.616567991684206174e+00,1.000000000000000000e+00
1.243732142890459524e+00,1.000000000000000000e+00
1.492600519121251024e+00,1.000000000000000000e+00
1.326927780107965082e+00,1.000000000000000000e+00
1.441885665485318713e+00,1.000000000000000000e+00
1.507585509982653837e+00,1.000000000000000000e+00
1.118807771756956893e+00,1.000000000000000000e+00
8.653880442706026743e-01,1.000000000000000000e+00
1.883791519524044666e+00,1.000000000000000000e+00
1.498004153060913390e+00,1.000000000000000000e+00
1.462134831509318778e+00,1.000000000000000000e+00
1.791757636953275945e+00,1.000000000000000000e+00
1.469788900135617693e+00,1.000000000000000000e+00
1.359623388860289772e+00,1.000000000000000000e+00
1.476420681949849545e+00,1.000000000000000000e+00
1.424051662902823034e+00,1.000000000000000000e+00
1.173050798018397067e+00,1.000000000000000000e+00
1.295250349967769665e+00,1.000000000000000000e+00
1.525342079723557731e+00,1.000000000000000000e+00
9.533704789773194133e-01,1.000000000000000000e+00
1.282169748100422613e+00,1.000000000000000000e+00
1.337476361910503009e+00,1.000000000000000000e+00
1.391755500681674418e+00,1.000000000000000000e+00
1.454815521861923200e+00,1.000000000000000000e+00
1.367137212183694883e+00,1.000000000000000000e+00
1.347548785705361629e+00,1.000000000000000000e+00
1.352513348591477982e+00,1.000000000000000000e+00
1.829223338725756154e+00,1.000000000000000000e+00
1.410652175244176521e+00,1.000000000000000000e+00
1.020474617792817007e+00,1.000000000000000000e+00
1.807210518111556752e+00,1.000000000000000000e+00
8.435280738384638433e-01,1.000000000000000000e+00
1.652062121294715968e+00,1.000000000000000000e+00
1.740103127963095186e+00,1.000000000000000000e+00
1.121929073980715952e+00,1.000000000000000000e+00
1.647714746951883136e+00,1.000000000000000000e+00
1.705846517610697832e+00,1.000000000000000000e+00
1.635049662518000435e+00,1.000000000000000000e+00
1.378284267104898264e+00,1.000000000000000000e+00
9.866906186359942765e-01,1.000000000000000000e+00
1.773705030321630405e+00,1.000000000000000000e+00
1.086220509156343939e+00,1.000000000000000000e+00
1.675126366915996368e+00,1.000000000000000000e+00
1.161368072312836119e+00,1.000000000000000000e+00
1.198365710249810645e+00,1.000000000000000000e+00
1.528257773363958183e+00,1.000000000000000000e+00
1.786532313467320332e+00,1.000000000000000000e+00
1.496820856099021491e+00,1.000000000000000000e+00
1.642273195566103849e+00,1.000000000000000000e+00
1.621494171483599311e+00,1.000000000000000000e+00
