m,likelihood
1.382049892690392801e+00,1.000000000000000000e+00
2.184371446984300302e+00,1.000000000000000000e+00
1.346384997032874509e+00,1.000000000000000000e+00
1.426027776191369778e+00,1.000000000000000000e+00
1.036833652627807245e+00,1.000000000000000000e+00
1.418291333253155484e+00,1.000000000000000000e+00
2.591675441720643569e+00,1.000000000000000000e+00
1.624964066347490688e+00,1.000000000000000000e+00
1.763553474895661388e+00,1.000000000000000000e+00
2.118800053327654087e+00,1.000000000000000000e+00
1.361148526892079325e+00,1.000000000000000000e+00
1.847166795468350831e+00,1.000000000000000000e+00
2.110212758932285659e+00,1.000000000000000000e+00
1.234567398271028349e+00,1.000000000000000000e+00
7.959932732268318878e-01,1.000000000000000000e+00
1.573979885815501634e+00,1.000000000000000000e+00
2.091454589082092586e+00,1.000000000000000000e+00
1.580492521198128886e+00,1.000000000000000000e+00
1.845524901084788283e+00,1.000000000000000000e+00
1.455675094016922744e+00,1.000000000000000000e+00
1.921771140427125379e+00,1.000000000000000000e+00
1.432760073194699002e+00,1.000000000000000000e+00
1.581137112352840379e+00,1.000000000000000000e+00
1.437367547965617831e+00,1.000000000000000000e+00
1.735673062893802854e+00,1.000000000000000000e+00
7.705487056603035345e-01,1.000000000000000000e+00
1.780668551073124828e+00,1.000000000000000000e+00
2.170202485199788534e+00,1.000000000000000000e+00
1.645343593390952153e+00,1.000000000000000000e+00
1.849319802323005080e+00,1.000000000000000000e+00
1.569317291298173211e+00,1.000000000000000000e+00
1.538552544873039718e+00,1.000000000000000000e+00
1.634220746862157903e+00,1.000000000000000000e+00
1.428321088223092783e+00,1.000000000000000000e+00
1.320055622797396744e+00,1.000000000000000000e+00
1.391347328262739103e+00,1.000000000000000000e+00
1.144412560914662480e+00,1.000000000000000000e+00
1.977904189368030252e+00,1.000000000000000000e+00
1.317758458307460412e+00,1.000000000000000000e+00
1.657735975917268512e+00,1.000000000000000000e+00
1.083082326158426811e+00,1.000000000000000000e+00
2.255539588036170162e+00,1.000000000000000000e+00
1.841286782568693159e+00,1.000000000000000000e+00
1.424462284551933688e+00,1.000000000000000000e+00
1.808537256520431402e+00,1.000000000000000000e+00
4.448396537596919220e-01,1.000000000000000000e+00
2.373089762068707920e+00,1.000000000000000000e+00
1.347697604428832241e+00,1.000000000000000000e+00
1.805144474167228008e+00,1.000000000000000000e+00
1.214735121814470631e+00,1.000000000000000000e+00
1.341563667733405296e+00,1.000000000000000000e+00
9.834995465510923962e-01,1.000000000000000000e+00
1.218947758746834920e+00,1.000000000000000000e+00
1.602796558840252850e+00,1.000000000000000000e+00
1.607648448988782786e+00,1.000000000000000000e+00
1.912703722316050348e+00,1.000000000000000000e+00
2.088978825609763668e+00,1.000000000000000000e+00
5.509119354530631618e-01,1.000000000000000000e+00
1.125857911892606644e+00,1.000000000000000000e+00
1.322060122993382381e+00,1.000000000000000000e+00
1.739720239883716602e+00,1.000000000000000000e+00
1.668461263870324229e+00,1.000000000000000000e+00
1.053694860718694226e+00,1.000000000000000000e+00
1.607531411550944700e+00,1.000000000000000000e+00
1.063980456798901741e+00,1.000000000000000000e+00
1.992839183236105871e+00,1.000000000000000000e+00
1.215051884903949109e+00,1.000000000000000000e+00
1.543146944627373562e+00,1.000000000000000000e+00
1.190235666398402836e+00,1.000000000000000000e+00
1.717106825484600474e+00,1.000000000000000000e+00
1.666314823869653017e+00,1.000000000000000000e+00
1.164785544897181779e+00,1.000000000000000000e+00
1.196137955838223688e+00,1.000000000000000000e+00
1.528775810631105792e+00,1.000000000000000000e+00
8.703490520233756467e-01,1.000000000000000000e+00
1.479924854805222401e+00,1.000000000000000000e+00
9.720239800651373496e-01,1.000000000000000000e+00
1.959993690819862966e+00,1.000000000000000000e+00
8.360575575880874188e-01,1.000000000000000000e+00
9.834949262989525209e-01,1.000000000000000000e+00
2.129807370430233604e+00,1.000000000000000000e+00
1.452544064443006100e+00,1.000000000000000000e+00
1.716293243139018099e+00,1.000000000000000000e+00
1.588368821904037942e+00,1.000000000000000000e+00
1.754530368814984698e+00,1.000000000000000000e+00
2.028424392621563044e+00,1.000000000000000000e+00
1.674936409571774476e+00,1.000000000000000000e+00
1.964476843065064315e+00,1.000000000000000000e+00
2.718612515023371756e+00,1.000000000000000000e+00
1.425862946520225938e+00,1.000000000000000000e+00
9.086156759318410048e-01,1.000000000000000000e+00
1.213945048684797579e+00,1.000000000000000000e+00
1.018605579097621838e+00,1.000000000000000000e+00
1.679034730644476392e+00,1.000000000000000000e+00
2.240806140641093958e+00,1.000000000000000000e+00
5.908692503717628552e-01,1.000000000000000000e+00
1.211691742235386560e+00,1.000000000000000000e+00
1.455054790791016295e+00,1.000000000000000000e+00
1.265754909913855863e+00,1.000000000000000000e+00
7.641631586002312071e-01,1.000000000000000000e+00
