q, m, likelihood
6.854018595747443499e+01,2.538888939207228468e+00,1.000000000000000000e+00
6.923369438311131319e+01,1.043502386500405610e+00,1.000000000000000000e+00
6.819344770630193864e+01,1.852330237764868937e+00,1.000000000000000000e+00
7.042310868132138069e+01,1.749274830928081670e+00,1.000000000000000000e+00
6.841876519928865719e+01,2.540477117838658927e+00,1.000000000000000000e+00
6.985441741615318278e+01,1.153777370831784443e+00,1.000000000000000000e+00
6.960048416703789087e+01,1.654226707486174064e+00,1.000000000000000000e+00
7.044791033219424037e+01,2.500973167260858609e+00,1.000000000000000000e+00
6.896073401167831207e+01,1.896439694401590881e+00,1.000000000000000000e+00
7.059952472357426245e+01,1.850797793053013285e+00,1.000000000000000000e+00
6.950086761599668250e+01,2.290861754801170935e+00,1.000000000000000000e+00
6.907666042260397887e+01,2.730286318301173409e+00,1.000000000000000000e+00
6.815176464338667017e+01,1.285854900160001923e+00,1.000000000000000000e+00
6.829007414228831863e+01,2.948118478792927100e+00,1.000000000000000000e+00
6.898980602108402138e+01,1.065393426061012283e+00,1.000000000000000000e+00
6.903025007950527936e+01,1.416216469738875050e+00,1.000000000000000000e+00
6.990500291373622588e+01,2.897136620592315026e+00,1.000000000000000000e+00
7.012733927293785996e+01,1.056672222382175841e+00,1.000000000000000000e+00
6.943486156537728959e+01,2.599882124048999543e+00,1.000000000000000000e+00
6.809510499602146183e+01,1.873589752124020791e+00,1.000000000000000000e+00
6.795646275818207016e+01,1.889979136121520131e+00,1.000000000000000000e+00
6.880313516633279391e+01,1.044575503415217987e+00,1.000000000000000000e+00
6.795646275818207016e+01,1.889979136121520131e+00,1.000000000000000000e+00
6.931077281092282760e+01,2.057147459656980093e+00,1.000000000000000000e+00
6.854018595747443499e+01,2.538888939207228468e+00,1.000000000000000000e+00
6.874922236003928333e+01,2.217627538738961235e+00,1.000000000000000000e+00
7.025062966937998965e+01,1.203762915783231469e+00,1.000000000000000000e+00
7.044791033219424037e+01,2.500973167260858609e+00,1.000000000000000000e+00
6.959779703380498006e+01,1.359736747836872706e+00,1.000000000000000000e+00
6.861026916885552396e+01,2.656265171163178174e+00,1.000000000000000000e+00
6.876499809830968957e+01,1.691768668677099852e+00,1.000000000000000000e+00
