q, m, likelihood
3.414264110484621639e+00,1.762459027633807906e+00,1.000000000000000000e+00
3.440840787811602297e+00,2.127272054846291560e+00,1.000000000000000000e+00
3.440615067694700269e+00,1.293441815703640474e+00,1.000000000000000000e+00
3.453035501342355484e+00,1.310543415710289761e+00,1.000000000000000000e+00
3.459235392995425151e+00,2.490393363844827235e+00,1.000000000000000000e+00
3.476454239799786183e+00,2.888305148568778957e+00,1.000000000000000000e+00
3.443346109946662459e+00,2.501686095373550245e+00,1.000000000000000000e+00
3.453035501342355484e+00,1.310543415710289761e+00,1.000000000000000000e+00
3.454724030238697452e+00,2.799810711349271841e+00,1.000000000000000000e+00
3.454724030238697452e+00,2.799810711349271841e+00,1.000000000000000000e+00
3.459235392995425151e+00,2.490393363844827235e+00,1.000000000000000000e+00
3.442574169804113904e+00,1.906230326875688164e+00,1.000000000000000000e+00
3.484586971122629162e+00,2.714817776168603647e+00,1.000000000000000000e+00
3.453717423058253910e+00,2.344312703078336391e+00,1.000000000000000000e+00
3.439470953897322048e+00,1.338405536929033079e+00,1.000000000000000000e+00
3.456424669829829988e+00,1.382827409370379845e+00,1.000000000000000000e+00
3.466748463112105494e+00,2.588749490022325794e+00,1.000000000000000000e+00
3.434024900880678466e+00,2.377467877960822484e+00,1.000000000000000000e+00
3.462523159174683229e+00,2.244380367718244784e+00,1.000000000000000000e+00
3.438201167610779763e+00,2.667595857952467675e+00,1.000000000000000000e+00
3.450311418635135574e+00,1.195941486697447154e+00,1.000000000000000000e+00
3.483207054314563234e+00,1.243863317360560439e+00,1.000000000000000000e+00
3.423904574950143775e+00,2.974557251519735601e+00,1.000000000000000000e+00
3.439470953897322048e+00,1.338405536929033079e+00,1.000000000000000000e+00
3.459044300981899411e+00,2.446314343173991546e+00,1.000000000000000000e+00
3.443346109946662459e+00,2.501686095373550245e+00,1.000000000000000000e+00
3.427936989154379610e+00,1.510887726128173680e+00,1.000000000000000000e+00
3.443810892173802429e+00,2.990661285048319407e+00,1.000000000000000000e+00
3.427479310771399668e+00,2.361953196824313483e+00,1.000000000000000000e+00
3.427254661438057237e+00,1.853535060496531717e+00,1.000000000000000000e+00
3.447031135636269727e+00,1.749923003745777139e+00,1.000000000000000000e+00
3.440506189564821238e+00,1.281638592419797051e+00,1.000000000000000000e+00
3.427578078311652732e+00,2.795307626909145249e+00,1.000000000000000000e+00
3.440315847055498200e+00,2.956181024600405660e+00,1.000000000000000000e+00
3.438201167610779763e+00,2.667595857952467675e+00,1.000000000000000000e+00
3.454917809759894265e+00,2.072803592499115055e+00,1.000000000000000000e+00
3.423469327333072076e+00,2.612501554686839533e+00,1.000000000000000000e+00
3.466063309386847369e+00,2.809010099854024389e+00,1.000000000000000000e+00
3.440840787811602297e+00,2.127272054846291560e+00,1.000000000000000000e+00
3.476454239799786183e+00,2.888305148568778957e+00,1.000000000000000000e+00
3.440615067694700269e+00,1.293441815703640474e+00,1.000000000000000000e+00
3.480640317789384319e+00,2.375626069408924401e+00,1.000000000000000000e+00
3.423904574950143775e+00,2.974557251519735601e+00,1.000000000000000000e+00
