q, m, likelihood
9.521805436632263309e+00,2.334172705762483702e+00,1.000000000000000000e+00
9.539747091637169163e+00,1.732951384069155276e+00,1.000000000000000000e+00
9.442819802827415288e+00,2.598922804492399319e+00,1.000000000000000000e+00
9.305964500878795675e+00,1.373923609813354041e+00,1.000000000000000000e+00
9.484624149043026975e+00,1.742370720292237607e+00,1.000000000000000000e+00
9.505467011357270124e+00,2.473565721093235581e+00,1.000000000000000000e+00
9.368586129991951950e+00,1.756707878891917041e+00,1.000000000000000000e+00
9.521805436632263309e+00,2.334172705762483702e+00,1.000000000000000000e+00
9.368586129991951950e+00,1.756707878891917041e+00,1.000000000000000000e+00
9.479705813440196138e+00,2.679372200289757089e+00,1.000000000000000000e+00
9.526206847853208259e+00,1.373864870088820078e+00,1.000000000000000000e+00
9.895028165701784673e+00,2.114850185329898657e+00,1.000000000000000000e+00
9.595595843393052604e+00,2.114047349755108218e+00,1.000000000000000000e+00
9.803832671729463044e+00,2.128715126296476079e+00,1.000000000000000000e+00
9.368586129991951950e+00,1.756707878891917041e+00,1.000000000000000000e+00
9.238208153839092773e+00,1.894896843944181342e+00,1.000000000000000000e+00
9.484624149043026975e+00,1.742370720292237607e+00,1.000000000000000000e+00
9.279643689436593235e+00,1.739378401474097835e+00,1.000000000000000000e+00
9.310573402974794632e+00,1.637472060471535595e+00,1.000000000000000000e+00
9.988803111418905090e+00,1.911574707108214088e+00,1.000000000000000000e+00
9.524524158868862500e+00,1.525698074764480161e+00,1.000000000000000000e+00
9.703498498176170273e+00,1.940688810184670654e+00,1.000000000000000000e+00
9.667018774865516306e+00,1.379674932035878765e+00,1.000000000000000000e+00
9.498492575060911491e+00,1.179024769824788432e+00,1.000000000000000000e+00
9.679712202175160485e+00,2.461452068186768649e+00,1.000000000000000000e+00
9.679712202175160485e+00,2.461452068186768649e+00,1.000000000000000000e+00
9.325096846651783622e+00,2.750301004677985439e+00,1.000000000000000000e+00
9.567594344797054617e+00,1.060393856399844958e+00,1.000000000000000000e+00
9.549003680051230347e+00,1.620395680147557416e+00,1.000000000000000000e+00
9.795523356902409162e+00,1.021498169222896157e+00,1.000000000000000000e+00
9.657081937217819601e+00,2.979604233834661997e+00,1.000000000000000000e+00
9.304207541539561532e+00,1.382386665562885364e+00,1.000000000000000000e+00
9.484624149043026975e+00,1.742370720292237607e+00,1.000000000000000000e+00
9.576612833036072914e+00,2.984657663407084272e+00,1.000000000000000000e+00
9.524524158868862500e+00,1.525698074764480161e+00,1.000000000000000000e+00
9.479705813440196138e+00,2.679372200289757089e+00,1.000000000000000000e+00
9.505467011357270124e+00,2.473565721093235581e+00,1.000000000000000000e+00
9.344462216964920742e+00,2.075543448821123071e+00,1.000000000000000000e+00
9.325096846651783622e+00,2.750301004677985439e+00,1.000000000000000000e+00
9.714605803093677494e+00,2.785317444811250986e+00,1.000000000000000000e+00
9.895028165701784673e+00,2.114850185329898657e+00,1.000000000000000000e+00
9.498492575060911491e+00,1.179024769824788432e+00,1.000000000000000000e+00
9.724107946395571744e+00,1.698237649224845880e+00,1.000000000000000000e+00
9.610085002288021983e+00,1.918107197175634049e+00,1.000000000000000000e+00
9.748956399232746151e+00,2.570680554620206060e+00,1.000000000000000000e+00
9.610085002288021983e+00,1.918107197175634049e+00,1.000000000000000000e+00
9.325096846651783622e+00,2.750301004677985439e+00,1.000000000000000000e+00
9.493316468032681144e+00,1.044568408528515846e+00,1.000000000000000000e+00
9.267438877983213530e+00,1.312483280928267604e+00,1.000000000000000000e+00
9.199913683197531000e+00,1.745126365518762990e+00,1.000000000000000000e+00
9.497262815279237103e+00,1.473013420857911759e+00,1.000000000000000000e+00
9.595595843393052604e+00,2.114047349755108218e+00,1.000000000000000000e+00
9.583636786230991689e+00,1.740274093413591405e+00,1.000000000000000000e+00
9.279643689436593235e+00,1.739378401474097835e+00,1.000000000000000000e+00
9.703498498176170273e+00,1.940688810184670654e+00,1.000000000000000000e+00
9.420524325138750044e+00,2.761490567597779666e+00,1.000000000000000000e+00
9.565702177775415649e+00,2.694918058651310844e+00,1.000000000000000000e+00
9.498492575060911491e+00,1.179024769824788432e+00,1.000000000000000000e+00
9.534422601550438969e+00,1.511262134078569463e+00,1.000000000000000000e+00
9.521805436632263309e+00,2.334172705762483702e+00,1.000000000000000000e+00
9.624565827958917907e+00,2.936566818987575989e+00,1.000000000000000000e+00
9.526206847853208259e+00,1.373864870088820078e+00,1.000000000000000000e+00
9.724107946395571744e+00,1.698237649224845880e+00,1.000000000000000000e+00
9.797217981270286202e+00,1.104150903846399689e+00,1.000000000000000000e+00
9.471219501581636280e+00,1.115770141747000066e+00,1.000000000000000000e+00
9.524524158868862500e+00,1.525698074764480161e+00,1.000000000000000000e+00
9.261305199715422987e+00,2.482814493110830689e+00,1.000000000000000000e+00
9.897527522742899819e+00,1.573198314323508651e+00,1.000000000000000000e+00
9.608133759044171995e+00,2.236026503190353676e+00,1.000000000000000000e+00
9.465555745467547410e+00,2.897911488961575799e+00,1.000000000000000000e+00
9.657219404116215600e+00,1.090624209692377944e+00,1.000000000000000000e+00
9.282461157948588948e+00,1.196221085157044062e+00,1.000000000000000000e+00
9.549003680051230347e+00,1.620395680147557416e+00,1.000000000000000000e+00
9.479705813440196138e+00,2.679372200289757089e+00,1.000000000000000000e+00
9.667018774865516306e+00,1.379674932035878765e+00,1.000000000000000000e+00
9.534422601550438969e+00,1.511262134078569463e+00,1.000000000000000000e+00
9.599144543971720012e+00,1.298449904435545754e+00,1.000000000000000000e+00
9.657219404116215600e+00,1.090624209692377944e+00,1.000000000000000000e+00
9.703498498176170273e+00,1.940688810184670654e+00,1.000000000000000000e+00
9.329723727430391023e+00,1.965809275488639374e+00,1.000000000000000000e+00
9.686502016408722326e+00,2.202511530547011986e+00,1.000000000000000000e+00
