tm, m, likelihood
2.331355440182085292e+00,2.157016119875430959e+00,1.000000000000000000e+00
2.331355440182085292e+00,2.157016119875430959e+00,1.000000000000000000e+00
2.143781555187879828e+00,1.453610985271465372e+00,1.000000000000000000e+00
2.331355440182085292e+00,2.157016119875430959e+00,1.000000000000000000e+00
2.302559572534568222e+00,1.943694545717706834e+00,1.000000000000000000e+00
2.266935948789867705e+00,1.323231012767503767e+00,1.000000000000000000e+00
2.399855960271718658e+00,1.704742923393022913e+00,1.000000000000000000e+00
2.218904026301893762e+00,1.893770657829912274e+00,1.000000000000000000e+00
2.331355440182085292e+00,2.157016119875430959e+00,1.000000000000000000e+00
2.426812528729194618e+00,2.236646428633710659e+00,1.000000000000000000e+00
2.175300306230063097e+00,2.026503010361174084e+00,1.000000000000000000e+00
2.175300306230063097e+00,2.026503010361174084e+00,1.000000000000000000e+00
2.175300306230063097e+00,2.026503010361174084e+00,1.000000000000000000e+00
2.175300306230063097e+00,2.026503010361174084e+00,1.000000000000000000e+00
2.502610615687304918e+00,2.028266827723255616e+00,1.000000000000000000e+00
2.175300306230063097e+00,2.026503010361174084e+00,1.000000000000000000e+00
2.331355440182085292e+00,2.157016119875430959e+00,1.000000000000000000e+00
2.175300306230063097e+00,2.026503010361174084e+00,1.000000000000000000e+00
2.463606480529664911e+00,1.333571883704678385e+00,1.000000000000000000e+00
2.175300306230063097e+00,2.026503010361174084e+00,1.000000000000000000e+00
2.331355440182085292e+00,2.157016119875430959e+00,1.000000000000000000e+00
2.298410625841440513e+00,2.050679736927068397e+00,1.000000000000000000e+00
2.175300306230063097e+00,2.026503010361174084e+00,1.000000000000000000e+00
2.405402613317118909e+00,2.181952165267859733e+00,1.000000000000000000e+00
2.426812528729194618e+00,2.236646428633710659e+00,1.000000000000000000e+00
2.333544743164251312e+00,2.139833393999445388e+00,1.000000000000000000e+00
2.426812528729194618e+00,2.236646428633710659e+00,1.000000000000000000e+00
2.405402613317118909e+00,2.181952165267859733e+00,1.000000000000000000e+00
2.333544743164251312e+00,2.139833393999445388e+00,1.000000000000000000e+00
2.043994044064690208e+00,1.687662841322153717e+00,1.000000000000000000e+00
