tm, m, likelihood
1.596557015153675874e+00,1.245760677060893773e+00,1.000000000000000000e+00
1.595256717832181703e+00,1.076636747088985047e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.676592263356493584e+00,1.202928586988489146e+00,1.000000000000000000e+00
1.577994784920662363e+00,1.258903856281152311e+00,1.000000000000000000e+00
1.566696144071280772e+00,1.252356996674375056e+00,1.000000000000000000e+00
1.616213685897122554e+00,1.117363503527381230e+00,1.000000000000000000e+00
1.562296056485050766e+00,1.166187349178830379e+00,1.000000000000000000e+00
1.626396704713598540e+00,1.255054665112054435e+00,1.000000000000000000e+00
1.597761616720256628e+00,1.245966444431117370e+00,1.000000000000000000e+00
1.573047796204871451e+00,1.124454889796368873e+00,1.000000000000000000e+00
1.692917288902634043e+00,1.326589985055570020e+00,1.000000000000000000e+00
1.572023017323094463e+00,1.197251046597994639e+00,1.000000000000000000e+00
1.607902002786874451e+00,1.247179975504025151e+00,1.000000000000000000e+00
1.617598386168963343e+00,1.249266915258877564e+00,1.000000000000000000e+00
1.503903000092694509e+00,1.215130899370164386e+00,1.000000000000000000e+00
1.622343397087751438e+00,1.081414793183928857e+00,1.000000000000000000e+00
1.651730753040340005e+00,1.342284569106519054e+00,1.000000000000000000e+00
1.531424626134975098e+00,1.228857561715560598e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.623043175895126478e+00,1.109154090994284525e+00,1.000000000000000000e+00
1.607902002786874451e+00,1.247179975504025151e+00,1.000000000000000000e+00
1.635207526332149275e+00,1.159057864009197969e+00,1.000000000000000000e+00
1.570105363440710056e+00,1.259167015567534076e+00,1.000000000000000000e+00
1.577994784920662363e+00,1.258903856281152311e+00,1.000000000000000000e+00
1.654293187726034953e+00,1.281969299053250078e+00,1.000000000000000000e+00
1.593708697422258957e+00,1.207205331843907548e+00,1.000000000000000000e+00
1.577994784920662363e+00,1.258903856281152311e+00,1.000000000000000000e+00
1.587939009681107461e+00,1.277650233545544411e+00,1.000000000000000000e+00
1.513910002242561115e+00,1.182546154936521265e+00,1.000000000000000000e+00
1.542913981493432063e+00,1.150033101697387261e+00,1.000000000000000000e+00
1.668527377027397174e+00,1.209574895823473994e+00,1.000000000000000000e+00
1.531202160497985743e+00,1.209569146861776856e+00,1.000000000000000000e+00
1.607902002786874451e+00,1.247179975504025151e+00,1.000000000000000000e+00
1.635207526332149275e+00,1.159057864009197969e+00,1.000000000000000000e+00
1.617598386168963343e+00,1.249266915258877564e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.608814811761703156e+00,1.207477742586395397e+00,1.000000000000000000e+00
1.637902799156174094e+00,1.194815186958818387e+00,1.000000000000000000e+00
1.573047796204871451e+00,1.124454889796368873e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.576271323017527148e+00,1.148725565562570994e+00,1.000000000000000000e+00
1.552262870161919661e+00,1.059386319471012250e+00,1.000000000000000000e+00
1.626396704713598540e+00,1.255054665112054435e+00,1.000000000000000000e+00
1.604054414285368324e+00,1.280183754632203463e+00,1.000000000000000000e+00
1.587939009681107461e+00,1.277650233545544411e+00,1.000000000000000000e+00
1.608436233052329634e+00,1.168012177732906220e+00,1.000000000000000000e+00
1.604054414285368324e+00,1.280183754632203463e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.610369755579861728e+00,1.218451326802952206e+00,1.000000000000000000e+00
1.587939009681107461e+00,1.277650233545544411e+00,1.000000000000000000e+00
1.570105363440710056e+00,1.259167015567534076e+00,1.000000000000000000e+00
1.570105363440710056e+00,1.259167015567534076e+00,1.000000000000000000e+00
1.607902002786874451e+00,1.247179975504025151e+00,1.000000000000000000e+00
1.610369755579861728e+00,1.218451326802952206e+00,1.000000000000000000e+00
1.785219199622979813e+00,1.392240947490689384e+00,1.000000000000000000e+00
1.583788470452274000e+00,1.091629730506618046e+00,1.000000000000000000e+00
1.692386237737160792e+00,1.228750691668779593e+00,1.000000000000000000e+00
1.651730753040340005e+00,1.342284569106519054e+00,1.000000000000000000e+00
1.692268857824539952e+00,1.336950406627612997e+00,1.000000000000000000e+00
1.596557015153675874e+00,1.245760677060893773e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.531424626134975098e+00,1.228857561715560598e+00,1.000000000000000000e+00
1.577994784920662363e+00,1.258903856281152311e+00,1.000000000000000000e+00
1.528495993187184210e+00,1.232673812279696302e+00,1.000000000000000000e+00
1.691480559103122783e+00,1.237007252603041119e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.668527377027397174e+00,1.209574895823473994e+00,1.000000000000000000e+00
1.531202160497985743e+00,1.209569146861776856e+00,1.000000000000000000e+00
1.593708697422258957e+00,1.207205331843907548e+00,1.000000000000000000e+00
1.546594223894985465e+00,1.246535076719232027e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.675126088772662225e+00,1.353496810869264433e+00,1.000000000000000000e+00
1.573047796204871451e+00,1.124454889796368873e+00,1.000000000000000000e+00
1.528495993187184210e+00,1.232673812279696302e+00,1.000000000000000000e+00
1.652498651175532407e+00,1.275079892221422151e+00,1.000000000000000000e+00
1.577994784920662363e+00,1.258903856281152311e+00,1.000000000000000000e+00
1.576271323017527148e+00,1.148725565562570994e+00,1.000000000000000000e+00
1.668527377027397174e+00,1.209574895823473994e+00,1.000000000000000000e+00
1.596557015153675874e+00,1.245760677060893773e+00,1.000000000000000000e+00
1.531202160497985743e+00,1.209569146861776856e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.651730753040340005e+00,1.342284569106519054e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.538562511807726407e+00,1.051831278312963969e+00,1.000000000000000000e+00
1.610369755579861728e+00,1.218451326802952206e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
1.616011417738430156e+00,1.133247237310509137e+00,1.000000000000000000e+00
1.604054414285368324e+00,1.280183754632203463e+00,1.000000000000000000e+00
1.604054414285368324e+00,1.280183754632203463e+00,1.000000000000000000e+00
1.566696144071280772e+00,1.252356996674375056e+00,1.000000000000000000e+00
1.513910002242561115e+00,1.182546154936521265e+00,1.000000000000000000e+00
1.692917288902634043e+00,1.326589985055570020e+00,1.000000000000000000e+00
1.595256717832181703e+00,1.076636747088985047e+00,1.000000000000000000e+00
1.597761616720256628e+00,1.245966444431117370e+00,1.000000000000000000e+00
1.675126088772662225e+00,1.353496810869264433e+00,1.000000000000000000e+00
1.617598386168963343e+00,1.249266915258877564e+00,1.000000000000000000e+00
1.617598386168963343e+00,1.249266915258877564e+00,1.000000000000000000e+00
1.639196459001739159e+00,1.339556375933785848e+00,1.000000000000000000e+00
