tm, m, likelihood
2.626330394251661371e+00,1.064296189075511379e+00,1.000000000000000000e+00
2.658870431087089869e+00,1.187243480364491788e+00,1.000000000000000000e+00
2.643812484581181899e+00,1.413144062706898740e+00,1.000000000000000000e+00
2.621614977600920326e+00,1.423132067831555325e+00,1.000000000000000000e+00
2.644308817765095743e+00,1.302842177082288000e+00,1.000000000000000000e+00
2.596760094513126393e+00,1.349677080645829141e+00,1.000000000000000000e+00
2.597992014014387507e+00,1.192727068785103040e+00,1.000000000000000000e+00
2.628585119755934230e+00,1.406372066039089264e+00,1.000000000000000000e+00
2.600325002213393688e+00,1.411757229665670854e+00,1.000000000000000000e+00
2.628021965994687736e+00,1.342451256404407767e+00,1.000000000000000000e+00
2.601276264094576796e+00,1.324417017839995880e+00,1.000000000000000000e+00
2.628938010976136219e+00,1.412675021703846845e+00,1.000000000000000000e+00
2.626330394251661371e+00,1.064296189075511379e+00,1.000000000000000000e+00
2.632058590929908792e+00,1.418904605520932449e+00,1.000000000000000000e+00
2.626133979260147910e+00,1.092579143193917579e+00,1.000000000000000000e+00
2.632058590929908792e+00,1.418904605520932449e+00,1.000000000000000000e+00
2.587030705090885618e+00,1.317127586842599118e+00,1.000000000000000000e+00
2.622490254080683147e+00,1.377163706723838033e+00,1.000000000000000000e+00
2.660302575154001925e+00,1.309296989646016485e+00,1.000000000000000000e+00
2.679214515050186485e+00,1.399116968126113969e+00,1.000000000000000000e+00
2.628938010976136219e+00,1.412675021703846845e+00,1.000000000000000000e+00
2.600325002213393688e+00,1.411757229665670854e+00,1.000000000000000000e+00
2.692695732965787236e+00,1.140420433544600876e+00,1.000000000000000000e+00
2.620046175300454472e+00,1.100772050499198018e+00,1.000000000000000000e+00
2.579604105916360357e+00,1.317573742708829876e+00,1.000000000000000000e+00
2.654951875919998372e+00,1.250442834024548588e+00,1.000000000000000000e+00
2.590564579804550238e+00,1.266743907497870580e+00,1.000000000000000000e+00
2.626290750648451855e+00,1.272141645506354557e+00,1.000000000000000000e+00
2.622490254080683147e+00,1.377163706723838033e+00,1.000000000000000000e+00
2.621614977600920326e+00,1.423132067831555325e+00,1.000000000000000000e+00
2.632058590929908792e+00,1.418904605520932449e+00,1.000000000000000000e+00
2.600325002213393688e+00,1.411757229665670854e+00,1.000000000000000000e+00
2.654951875919998372e+00,1.250442834024548588e+00,1.000000000000000000e+00
2.590564579804550238e+00,1.266743907497870580e+00,1.000000000000000000e+00
2.632058590929908792e+00,1.418904605520932449e+00,1.000000000000000000e+00
2.597826766840118484e+00,1.312551025315990660e+00,1.000000000000000000e+00
2.628021965994687736e+00,1.342451256404407767e+00,1.000000000000000000e+00
2.648500896359091694e+00,1.339152291532987427e+00,1.000000000000000000e+00
2.626133979260147910e+00,1.092579143193917579e+00,1.000000000000000000e+00
2.678311025436673098e+00,1.008051507992548279e+00,1.000000000000000000e+00
2.639683072374334749e+00,1.425204145611989270e+00,1.000000000000000000e+00
2.629137204154529783e+00,1.388750166348598158e+00,1.000000000000000000e+00
2.669512290124650189e+00,1.429558727415700448e+00,1.000000000000000000e+00
2.622490254080683147e+00,1.377163706723838033e+00,1.000000000000000000e+00
2.593522269227385824e+00,1.350768954105553643e+00,1.000000000000000000e+00
2.572035952692733662e+00,1.376991413969431921e+00,1.000000000000000000e+00
2.600325002213393688e+00,1.411757229665670854e+00,1.000000000000000000e+00
2.591239906498874923e+00,1.127337197041905270e+00,1.000000000000000000e+00
2.625241474439250933e+00,1.260972173854270073e+00,1.000000000000000000e+00
2.655017602247402575e+00,1.165102698305776618e+00,1.000000000000000000e+00
2.655017602247402575e+00,1.165102698305776618e+00,1.000000000000000000e+00
2.630654688669647800e+00,1.236114556123425468e+00,1.000000000000000000e+00
2.621614977600920326e+00,1.423132067831555325e+00,1.000000000000000000e+00
2.648500896359091694e+00,1.339152291532987427e+00,1.000000000000000000e+00
2.621614977600920326e+00,1.423132067831555325e+00,1.000000000000000000e+00
2.621614977600920326e+00,1.423132067831555325e+00,1.000000000000000000e+00
2.575083414711183405e+00,1.337445808260079749e+00,1.000000000000000000e+00
2.669512290124650189e+00,1.429558727415700448e+00,1.000000000000000000e+00
2.601276264094576796e+00,1.324417017839995880e+00,1.000000000000000000e+00
2.669512290124650189e+00,1.429558727415700448e+00,1.000000000000000000e+00
2.579604105916360357e+00,1.317573742708829876e+00,1.000000000000000000e+00
2.632058590929908792e+00,1.418904605520932449e+00,1.000000000000000000e+00
2.596030515799752525e+00,1.360122078330147755e+00,1.000000000000000000e+00
2.678317677784042949e+00,1.275564703067411543e+00,1.000000000000000000e+00
2.629137204154529783e+00,1.388750166348598158e+00,1.000000000000000000e+00
2.628938010976136219e+00,1.412675021703846845e+00,1.000000000000000000e+00
2.597864553812962551e+00,1.311798890667769779e+00,1.000000000000000000e+00
2.628938010976136219e+00,1.412675021703846845e+00,1.000000000000000000e+00
2.628021965994687736e+00,1.342451256404407767e+00,1.000000000000000000e+00
2.637551192677074496e+00,1.167039816775641281e+00,1.000000000000000000e+00
2.604892026925110127e+00,1.126040676452080724e+00,1.000000000000000000e+00
2.646226177046994366e+00,1.234114864750097462e+00,1.000000000000000000e+00
2.629137204154529783e+00,1.388750166348598158e+00,1.000000000000000000e+00
2.611482588303783547e+00,1.316725604758336443e+00,1.000000000000000000e+00
2.621614977600920326e+00,1.423132067831555325e+00,1.000000000000000000e+00
2.679926763687760172e+00,1.318909247198205348e+00,1.000000000000000000e+00
2.654951875919998372e+00,1.250442834024548588e+00,1.000000000000000000e+00
2.639683072374334749e+00,1.425204145611989270e+00,1.000000000000000000e+00
2.633741755791347394e+00,1.074183372970912709e+00,1.000000000000000000e+00
2.684602054589404485e+00,1.300191103743120635e+00,1.000000000000000000e+00
2.628585119755934230e+00,1.406372066039089264e+00,1.000000000000000000e+00
2.685255133622371559e+00,1.271917252647237540e+00,1.000000000000000000e+00
2.654951875919998372e+00,1.250442834024548588e+00,1.000000000000000000e+00
2.682793895254952155e+00,1.009808659551467480e+00,1.000000000000000000e+00
2.590948221346303093e+00,1.186450975071354552e+00,1.000000000000000000e+00
2.611497119053605598e+00,1.257924156694555817e+00,1.000000000000000000e+00
2.629137204154529783e+00,1.388750166348598158e+00,1.000000000000000000e+00
2.650802733803160560e+00,1.348021421479325799e+00,1.000000000000000000e+00
2.585899522440104459e+00,1.353568795937204916e+00,1.000000000000000000e+00
2.621614977600920326e+00,1.423132067831555325e+00,1.000000000000000000e+00
2.693712628590436253e+00,1.460984232420871720e+00,1.000000000000000000e+00
2.628938010976136219e+00,1.412675021703846845e+00,1.000000000000000000e+00
2.626290750648451855e+00,1.272141645506354557e+00,1.000000000000000000e+00
2.685255133622371559e+00,1.271917252647237540e+00,1.000000000000000000e+00
2.655017602247402575e+00,1.165102698305776618e+00,1.000000000000000000e+00
2.628938010976136219e+00,1.412675021703846845e+00,1.000000000000000000e+00
2.611482588303783547e+00,1.316725604758336443e+00,1.000000000000000000e+00
2.597826766840118484e+00,1.312551025315990660e+00,1.000000000000000000e+00
2.610935473151378972e+00,1.033825791513124148e+00,1.000000000000000000e+00
2.629137204154529783e+00,1.388750166348598158e+00,1.000000000000000000e+00
