tm, m, likelihood
1.667491214728642035e+00,1.481850270783849233e+00,1.000000000000000000e+00
1.663695719821056906e+00,1.430164381523780559e+00,1.000000000000000000e+00
1.667277519592608392e+00,1.454040845101145729e+00,1.000000000000000000e+00
1.676349873547507086e+00,1.317354372293848774e+00,1.000000000000000000e+00
1.656565933987617312e+00,1.027295268917537197e+00,1.000000000000000000e+00
1.668906242846085686e+00,1.083212394484926566e+00,1.000000000000000000e+00
1.660510524831471102e+00,1.481390288059052818e+00,1.000000000000000000e+00
1.658447432579807534e+00,1.483388111088649097e+00,1.000000000000000000e+00
1.666579437909691208e+00,1.412468805448654718e+00,1.000000000000000000e+00
1.666812939971252350e+00,1.380711514464897149e+00,1.000000000000000000e+00
1.658094684007741293e+00,1.157969579386196157e+00,1.000000000000000000e+00
1.667491214728642035e+00,1.481850270783849233e+00,1.000000000000000000e+00
1.660510524831471102e+00,1.481390288059052818e+00,1.000000000000000000e+00
1.667277519592608392e+00,1.454040845101145729e+00,1.000000000000000000e+00
1.672800903898714830e+00,1.450384675126897172e+00,1.000000000000000000e+00
1.658447432579807534e+00,1.483388111088649097e+00,1.000000000000000000e+00
1.660510524831471102e+00,1.481390288059052818e+00,1.000000000000000000e+00
1.662195917312122351e+00,1.381835981255638224e+00,1.000000000000000000e+00
1.672079634513934376e+00,1.083432136177618910e+00,1.000000000000000000e+00
1.659396040303594777e+00,1.476311510082555012e+00,1.000000000000000000e+00
1.667979540915225600e+00,1.313450667411575568e+00,1.000000000000000000e+00
1.683676033258250770e+00,1.214294118266030065e+00,1.000000000000000000e+00
1.662748821362005414e+00,1.002954394504653290e+00,1.000000000000000000e+00
1.658447432579807534e+00,1.483388111088649097e+00,1.000000000000000000e+00
1.661285968284246239e+00,1.469951840225049544e+00,1.000000000000000000e+00
1.658447432579807534e+00,1.483388111088649097e+00,1.000000000000000000e+00
1.660510524831471102e+00,1.481390288059052818e+00,1.000000000000000000e+00
1.658447432579807534e+00,1.483388111088649097e+00,1.000000000000000000e+00
1.667491214728642035e+00,1.481850270783849233e+00,1.000000000000000000e+00
1.668345237897843836e+00,1.199444379065255806e+00,1.000000000000000000e+00
1.665022341190775412e+00,1.374691307551401342e+00,1.000000000000000000e+00
1.666097738843361098e+00,1.248272003379111483e+00,1.000000000000000000e+00
1.658447432579807534e+00,1.483388111088649097e+00,1.000000000000000000e+00
1.659396040303594777e+00,1.476311510082555012e+00,1.000000000000000000e+00
1.667491214728642035e+00,1.481850270783849233e+00,1.000000000000000000e+00
1.666137707509763421e+00,1.397250629835432800e+00,1.000000000000000000e+00
1.659239569756312926e+00,1.404381806083057072e+00,1.000000000000000000e+00
1.660352587010098135e+00,1.288412653000948316e+00,1.000000000000000000e+00
1.667491214728642035e+00,1.481850270783849233e+00,1.000000000000000000e+00
1.658447432579807534e+00,1.483388111088649097e+00,1.000000000000000000e+00
1.672143139121014199e+00,1.226384485760399823e+00,1.000000000000000000e+00
1.666382545581741814e+00,1.428652306399780691e+00,1.000000000000000000e+00
