tm, m, likelihood
2.404959484727768881e+00,1.573218104795772287e+00,1.000000000000000000e+00
2.369914005696818204e+00,1.659053574395860320e+00,1.000000000000000000e+00
2.287967936912724820e+00,1.240735655734626741e+00,1.000000000000000000e+00
2.412105372638045697e+00,1.177915944901370304e+00,1.000000000000000000e+00
2.309779453860421938e+00,1.480353346738868758e+00,1.000000000000000000e+00
2.345881808491357745e+00,1.719126337269714311e+00,1.000000000000000000e+00
2.369914005696818204e+00,1.659053574395860320e+00,1.000000000000000000e+00
2.241040597932450584e+00,1.545832981413128859e+00,1.000000000000000000e+00
2.296309576361228011e+00,1.504705524630133517e+00,1.000000000000000000e+00
2.308553575395618118e+00,1.038037089609325392e+00,1.000000000000000000e+00
2.392043072410184656e+00,1.817061197368734060e+00,1.000000000000000000e+00
2.330883797487120379e+00,1.525376940504591605e+00,1.000000000000000000e+00
2.364770442831899189e+00,1.649753426003993440e+00,1.000000000000000000e+00
2.364427294836899840e+00,1.786930622584358197e+00,1.000000000000000000e+00
2.344829290180069581e+00,1.294704190827272949e+00,1.000000000000000000e+00
2.355495206574627076e+00,1.713417210589499806e+00,1.000000000000000000e+00
2.344319013359516646e+00,1.413587607263440793e+00,1.000000000000000000e+00
2.342886584228563773e+00,1.470108291062500294e+00,1.000000000000000000e+00
2.357676456456114344e+00,1.226859498424267114e+00,1.000000000000000000e+00
2.296309576361228011e+00,1.504705524630133517e+00,1.000000000000000000e+00
2.344019542623637431e+00,1.472028852372047281e+00,1.000000000000000000e+00
2.272671043390968926e+00,1.388402311403883260e+00,1.000000000000000000e+00
2.420986927951878531e+00,1.859971197344003624e+00,1.000000000000000000e+00
2.243989728031902775e+00,1.685923645132495707e+00,1.000000000000000000e+00
2.364427294836899840e+00,1.786930622584358197e+00,1.000000000000000000e+00
2.345881808491357745e+00,1.719126337269714311e+00,1.000000000000000000e+00
2.296416466442112281e+00,1.743923887146828111e+00,1.000000000000000000e+00
2.313805123853830636e+00,1.548657155534665764e+00,1.000000000000000000e+00
2.318976244535509768e+00,1.714645754376823650e+00,1.000000000000000000e+00
2.369914005696818204e+00,1.659053574395860320e+00,1.000000000000000000e+00
2.323207634050774129e+00,1.632243414022720884e+00,1.000000000000000000e+00
2.304596185625658933e+00,1.560905897150550059e+00,1.000000000000000000e+00
2.364427294836899840e+00,1.786930622584358197e+00,1.000000000000000000e+00
2.381171245916930523e+00,1.833273812994850260e+00,1.000000000000000000e+00
2.410914683146093918e+00,1.745700159824508546e+00,1.000000000000000000e+00
2.296309576361228011e+00,1.504705524630133517e+00,1.000000000000000000e+00
2.404959484727768881e+00,1.573218104795772287e+00,1.000000000000000000e+00
2.296416466442112281e+00,1.743923887146828111e+00,1.000000000000000000e+00
2.211988374512640743e+00,1.027627664829382947e+00,1.000000000000000000e+00
