tm, m, likelihood
2.946886445121400300e+00,1.982970228218594144e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
2.812327206166058247e+00,2.065952178419141028e+00,1.000000000000000000e+00
3.144014811141100818e+00,2.875141585102958253e+00,1.000000000000000000e+00
2.812327206166058247e+00,2.065952178419141028e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.706907954077708123e+00,1.068815457116422563e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.812919260271169009e+00,2.459277770253905260e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
2.865874719530699277e+00,1.136425825013180457e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.856295278579553898e+00,2.061432392936817237e+00,1.000000000000000000e+00
3.165709165940940650e+00,2.695470839703241417e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
3.164281826430168643e+00,2.922551933477825159e+00,1.000000000000000000e+00
3.144014811141100818e+00,2.875141585102958253e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
2.807509336820622980e+00,2.340940814462160624e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.880461293786081178e+00,1.037271075227671702e+00,1.000000000000000000e+00
2.812919260271169009e+00,2.459277770253905260e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.912235895968397603e+00,2.520085811112572571e+00,1.000000000000000000e+00
2.861710084550012301e+00,2.511867938253507404e+00,1.000000000000000000e+00
3.045246763379796384e+00,2.240911839982618670e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
3.029522104584074338e+00,2.181223421928391915e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
3.001194297515938469e+00,1.969661353094523504e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.861710084550012301e+00,2.511867938253507404e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.914467087607687024e+00,1.648257770794008703e+00,1.000000000000000000e+00
2.775022319785085845e+00,2.007672711867352966e+00,1.000000000000000000e+00
2.637110369555796918e+00,1.995542201711518526e+00,1.000000000000000000e+00
2.861710084550012301e+00,2.511867938253507404e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
2.843605950870439436e+00,2.255668416269450471e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.914280535378487969e+00,2.184557493345521184e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.727471583731488902e+00,2.382735950479978992e+00,1.000000000000000000e+00
2.928174983769088691e+00,2.450725192991485279e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.775022319785085845e+00,2.007672711867352966e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
3.082174166617411171e+00,1.135948769185942897e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
3.164281826430168643e+00,2.922551933477825159e+00,1.000000000000000000e+00
3.165709165940940650e+00,2.695470839703241417e+00,1.000000000000000000e+00
3.164281826430168643e+00,2.922551933477825159e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.779257362234110129e+00,1.814511763172170333e+00,1.000000000000000000e+00
3.253066944376163949e+00,1.042438701127702316e+00,1.000000000000000000e+00
2.996463292581189819e+00,2.825807403594998934e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
3.049734362449491698e+00,1.787560169199853943e+00,1.000000000000000000e+00
2.727471583731488902e+00,2.382735950479978992e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.772739059985994459e+00,2.311232431870866577e+00,1.000000000000000000e+00
3.181991572209536656e+00,3.028154130942031674e+00,1.000000000000000000e+00
2.905897557237594242e+00,2.749324371177933379e+00,1.000000000000000000e+00
2.976305829552236215e+00,2.148966905870860700e+00,1.000000000000000000e+00
2.912235895968397603e+00,2.520085811112572571e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
3.001194297515938469e+00,1.969661353094523504e+00,1.000000000000000000e+00
3.143773309300347485e+00,2.912942767874760808e+00,1.000000000000000000e+00
