tm, m, likelihood
2.180540045531205617e+00,1.287256528033760450e+00,1.000000000000000000e+00
2.155644179501191804e+00,1.591813474037807818e+00,1.000000000000000000e+00
2.161394390150152667e+00,1.264322814880384005e+00,1.000000000000000000e+00
2.167299748668231274e+00,1.098744808729787081e+00,1.000000000000000000e+00
2.174547804395540851e+00,1.742044813095144473e+00,1.000000000000000000e+00
2.178077768201186704e+00,1.765660276900078429e+00,1.000000000000000000e+00
2.151036094419864764e+00,1.654070758540502339e+00,1.000000000000000000e+00
2.152620491764124289e+00,1.813432659960392046e+00,1.000000000000000000e+00
2.194912081091567213e+00,1.910423143026882098e+00,1.000000000000000000e+00
2.181251655071879902e+00,1.574946570087584652e+00,1.000000000000000000e+00
2.174381313164758467e+00,1.799873991182900035e+00,1.000000000000000000e+00
2.171316330757237623e+00,1.884927505695366046e+00,1.000000000000000000e+00
2.162256659622876498e+00,1.750300422732725236e+00,1.000000000000000000e+00
2.149341832337142932e+00,1.794789118766825453e+00,1.000000000000000000e+00
2.173547799134499581e+00,1.731251911673109767e+00,1.000000000000000000e+00
2.146186752017318344e+00,1.846261172522925875e+00,1.000000000000000000e+00
2.146186752017318344e+00,1.846261172522925875e+00,1.000000000000000000e+00
2.168078034152580713e+00,1.788403108822173238e+00,1.000000000000000000e+00
2.162573280044490787e+00,1.726558604945234165e+00,1.000000000000000000e+00
2.139234776678115679e+00,1.713947121588571321e+00,1.000000000000000000e+00
2.162492935474274347e+00,1.798895234265785792e+00,1.000000000000000000e+00
2.139234776678115679e+00,1.713947121588571321e+00,1.000000000000000000e+00
2.182398680305579042e+00,1.824343877096878286e+00,1.000000000000000000e+00
2.171316330757237623e+00,1.884927505695366046e+00,1.000000000000000000e+00
2.176616222987776794e+00,1.647478275157822081e+00,1.000000000000000000e+00
2.171316330757237623e+00,1.884927505695366046e+00,1.000000000000000000e+00
2.171316330757237623e+00,1.884927505695366046e+00,1.000000000000000000e+00
2.171316330757237623e+00,1.884927505695366046e+00,1.000000000000000000e+00
2.146186752017318344e+00,1.846261172522925875e+00,1.000000000000000000e+00
2.152620491764124289e+00,1.813432659960392046e+00,1.000000000000000000e+00
2.182214911553952863e+00,1.736814563663131583e+00,1.000000000000000000e+00
2.178770252367473237e+00,1.304782090980655562e+00,1.000000000000000000e+00
2.146186752017318344e+00,1.846261172522925875e+00,1.000000000000000000e+00
2.173808799442267681e+00,1.699131027052547260e+00,1.000000000000000000e+00
2.179969929451476940e+00,1.182564411893079370e+00,1.000000000000000000e+00
2.155799217134185319e+00,1.003432103062365854e+00,1.000000000000000000e+00
2.173547799134499581e+00,1.731251911673109767e+00,1.000000000000000000e+00
2.151036094419864764e+00,1.654070758540502339e+00,1.000000000000000000e+00
2.174381313164758467e+00,1.799873991182900035e+00,1.000000000000000000e+00
2.156673265896841496e+00,1.390909608344317538e+00,1.000000000000000000e+00
2.164794074549918790e+00,1.833369632227029200e+00,1.000000000000000000e+00
2.172694710379732275e+00,1.166633777368514036e+00,1.000000000000000000e+00
2.152964911291835204e+00,1.381039209917964694e+00,1.000000000000000000e+00
2.172019253835562491e+00,1.800712773844433290e+00,1.000000000000000000e+00
2.157487768160620600e+00,1.768829504775253803e+00,1.000000000000000000e+00
2.149341832337142932e+00,1.794789118766825453e+00,1.000000000000000000e+00
2.172019253835562491e+00,1.800712773844433290e+00,1.000000000000000000e+00
2.162503857895475168e+00,1.249665856717148138e+00,1.000000000000000000e+00
2.180181354531695259e+00,1.559926291128184594e+00,1.000000000000000000e+00
2.173808799442267681e+00,1.699131027052547260e+00,1.000000000000000000e+00
2.162492935474274347e+00,1.798895234265785792e+00,1.000000000000000000e+00
2.158282224079450362e+00,1.851110043915762837e+00,1.000000000000000000e+00
2.194912081091567213e+00,1.910423143026882098e+00,1.000000000000000000e+00
2.176616222987776794e+00,1.647478275157822081e+00,1.000000000000000000e+00
2.171316330757237623e+00,1.884927505695366046e+00,1.000000000000000000e+00
2.164794074549918790e+00,1.833369632227029200e+00,1.000000000000000000e+00
2.161394390150152667e+00,1.264322814880384005e+00,1.000000000000000000e+00
2.184271802540540097e+00,1.292941994707853759e+00,1.000000000000000000e+00
2.146186752017318344e+00,1.846261172522925875e+00,1.000000000000000000e+00
2.194912081091567213e+00,1.910423143026882098e+00,1.000000000000000000e+00
2.171316330757237623e+00,1.884927505695366046e+00,1.000000000000000000e+00
2.171316330757237623e+00,1.884927505695366046e+00,1.000000000000000000e+00
2.175626249018972391e+00,1.100561478562957163e+00,1.000000000000000000e+00
2.157487768160620600e+00,1.768829504775253803e+00,1.000000000000000000e+00
2.194912081091567213e+00,1.910423143026882098e+00,1.000000000000000000e+00
2.194912081091567213e+00,1.910423143026882098e+00,1.000000000000000000e+00
2.158282224079450362e+00,1.851110043915762837e+00,1.000000000000000000e+00
2.149341832337142932e+00,1.794789118766825453e+00,1.000000000000000000e+00
2.182603823999810455e+00,1.480638773610033931e+00,1.000000000000000000e+00
2.171316330757237623e+00,1.884927505695366046e+00,1.000000000000000000e+00
2.173804235576043631e+00,1.369634505330320051e+00,1.000000000000000000e+00
2.162573280044490787e+00,1.726558604945234165e+00,1.000000000000000000e+00
2.146186752017318344e+00,1.846261172522925875e+00,1.000000000000000000e+00
2.146186752017318344e+00,1.846261172522925875e+00,1.000000000000000000e+00
2.182398680305579042e+00,1.824343877096878286e+00,1.000000000000000000e+00
2.180429518802132094e+00,1.285946969173873855e+00,1.000000000000000000e+00
2.164794074549918790e+00,1.833369632227029200e+00,1.000000000000000000e+00
2.194912081091567213e+00,1.910423143026882098e+00,1.000000000000000000e+00
