tm, m, likelihood
2.221586020501785885e+00,1.816424956033606541e+00,1.000000000000000000e+00
2.185690771520079512e+00,1.616884233891508815e+00,1.000000000000000000e+00
2.168699055299963430e+00,1.770301954343659112e+00,1.000000000000000000e+00
2.221586020501785885e+00,1.816424956033606541e+00,1.000000000000000000e+00
2.221586020501785885e+00,1.816424956033606541e+00,1.000000000000000000e+00
2.201607167520318598e+00,1.509380284524620031e+00,1.000000000000000000e+00
2.212534294213447605e+00,1.510238076965370935e+00,1.000000000000000000e+00
2.224619862396306047e+00,1.809707944484749031e+00,1.000000000000000000e+00
2.221586020501785885e+00,1.816424956033606541e+00,1.000000000000000000e+00
2.178496431125307442e+00,1.492100281670100781e+00,1.000000000000000000e+00
2.184204227432578360e+00,1.676183394474356492e+00,1.000000000000000000e+00
2.192321783968847360e+00,1.458187604644037849e+00,1.000000000000000000e+00
2.247297635773815472e+00,1.298273389150678359e+00,1.000000000000000000e+00
2.194610773557019723e+00,1.668656906422352204e+00,1.000000000000000000e+00
2.165375642015399116e+00,1.349582167054151682e+00,1.000000000000000000e+00
2.201607167520318598e+00,1.509380284524620031e+00,1.000000000000000000e+00
2.247297635773815472e+00,1.298273389150678359e+00,1.000000000000000000e+00
2.185690771520079512e+00,1.616884233891508815e+00,1.000000000000000000e+00
2.212534294213447605e+00,1.510238076965370935e+00,1.000000000000000000e+00
2.155685955614987215e+00,1.637521731258604563e+00,1.000000000000000000e+00
2.212534294213447605e+00,1.510238076965370935e+00,1.000000000000000000e+00
2.162621347927824011e+00,1.354557295131886718e+00,1.000000000000000000e+00
2.236127493631697050e+00,1.602780357329373295e+00,1.000000000000000000e+00
2.224338082965380270e+00,1.747083207493319135e+00,1.000000000000000000e+00
2.206814924761200114e+00,1.728761718634272970e+00,1.000000000000000000e+00
2.207709148652554632e+00,1.224861895252587596e+00,1.000000000000000000e+00
2.236127493631697050e+00,1.602780357329373295e+00,1.000000000000000000e+00
2.212534294213447605e+00,1.510238076965370935e+00,1.000000000000000000e+00
2.190280414641496698e+00,1.455155073132446297e+00,1.000000000000000000e+00
2.209295463000751525e+00,1.740477787724219683e+00,1.000000000000000000e+00
2.224619862396306047e+00,1.809707944484749031e+00,1.000000000000000000e+00
2.155685955614987215e+00,1.637521731258604563e+00,1.000000000000000000e+00
2.206814924761200114e+00,1.728761718634272970e+00,1.000000000000000000e+00
2.224338082965380270e+00,1.747083207493319135e+00,1.000000000000000000e+00
2.224619862396306047e+00,1.809707944484749031e+00,1.000000000000000000e+00
2.199493582253813528e+00,1.539237309847742763e+00,1.000000000000000000e+00
2.219185970530369367e+00,1.666262159742819993e+00,1.000000000000000000e+00
2.194610773557019723e+00,1.668656906422352204e+00,1.000000000000000000e+00
2.221586020501785885e+00,1.816424956033606541e+00,1.000000000000000000e+00
2.224619862396306047e+00,1.809707944484749031e+00,1.000000000000000000e+00
2.221586020501785885e+00,1.816424956033606541e+00,1.000000000000000000e+00
2.233310413575987141e+00,1.413499028077367381e+00,1.000000000000000000e+00
2.168699055299963430e+00,1.770301954343659112e+00,1.000000000000000000e+00
2.180308260301032863e+00,1.724748272153102668e+00,1.000000000000000000e+00
2.201942337602775801e+00,1.711139799824760832e+00,1.000000000000000000e+00
2.224338082965380270e+00,1.747083207493319135e+00,1.000000000000000000e+00
2.180308260301032863e+00,1.724748272153102668e+00,1.000000000000000000e+00
2.232278343762092554e+00,1.250922029547001824e+00,1.000000000000000000e+00
2.209295463000751525e+00,1.740477787724219683e+00,1.000000000000000000e+00
2.180308260301032863e+00,1.724748272153102668e+00,1.000000000000000000e+00
2.254848816576953574e+00,1.354053191962912628e+00,1.000000000000000000e+00
2.201942337602775801e+00,1.711139799824760832e+00,1.000000000000000000e+00
2.221586020501785885e+00,1.816424956033606541e+00,1.000000000000000000e+00
2.235449744305486153e+00,1.763761294396389179e+00,1.000000000000000000e+00
2.155685955614987215e+00,1.637521731258604563e+00,1.000000000000000000e+00
2.258848711843066681e+00,1.652184788647463431e+00,1.000000000000000000e+00
2.203084844828667510e+00,1.614774936744329814e+00,1.000000000000000000e+00
2.224619862396306047e+00,1.809707944484749031e+00,1.000000000000000000e+00
2.224619862396306047e+00,1.809707944484749031e+00,1.000000000000000000e+00
2.168699055299963430e+00,1.770301954343659112e+00,1.000000000000000000e+00
2.219185970530369367e+00,1.666262159742819993e+00,1.000000000000000000e+00
2.218868860260463372e+00,1.549174904552707233e+00,1.000000000000000000e+00
2.168699055299963430e+00,1.770301954343659112e+00,1.000000000000000000e+00
2.203099236625857493e+00,1.611390535996277240e+00,1.000000000000000000e+00
2.242561529047174762e+00,1.753581035765659824e+00,1.000000000000000000e+00
2.190280414641496698e+00,1.455155073132446297e+00,1.000000000000000000e+00
2.168699055299963430e+00,1.770301954343659112e+00,1.000000000000000000e+00
2.224619862396306047e+00,1.809707944484749031e+00,1.000000000000000000e+00
2.181528186948117121e+00,1.286311222398254017e+00,1.000000000000000000e+00
2.209295463000751525e+00,1.740477787724219683e+00,1.000000000000000000e+00
2.180151631947769175e+00,1.207405892237640721e+00,1.000000000000000000e+00
2.221586020501785885e+00,1.816424956033606541e+00,1.000000000000000000e+00
2.184204227432578360e+00,1.676183394474356492e+00,1.000000000000000000e+00
2.208133246360890922e+00,1.490389224756864417e+00,1.000000000000000000e+00
2.169303231987155911e+00,1.629507669239613099e+00,1.000000000000000000e+00
2.188841740250282442e+00,1.317547591360392900e+00,1.000000000000000000e+00
2.225886111487930474e+00,1.514919177986051357e+00,1.000000000000000000e+00
2.201942337602775801e+00,1.711139799824760832e+00,1.000000000000000000e+00
2.168699055299963430e+00,1.770301954343659112e+00,1.000000000000000000e+00
2.224619862396306047e+00,1.809707944484749031e+00,1.000000000000000000e+00
2.194610773557019723e+00,1.668656906422352204e+00,1.000000000000000000e+00
2.168699055299963430e+00,1.770301954343659112e+00,1.000000000000000000e+00
2.224338082965380270e+00,1.747083207493319135e+00,1.000000000000000000e+00
2.203099236625857493e+00,1.611390535996277240e+00,1.000000000000000000e+00
2.202063512606055706e+00,1.263304754409655395e+00,1.000000000000000000e+00
2.206814924761200114e+00,1.728761718634272970e+00,1.000000000000000000e+00
2.168699055299963430e+00,1.770301954343659112e+00,1.000000000000000000e+00
2.221586020501785885e+00,1.816424956033606541e+00,1.000000000000000000e+00
2.201942337602775801e+00,1.711139799824760832e+00,1.000000000000000000e+00
2.228962019529582506e+00,1.710916291833536551e+00,1.000000000000000000e+00
2.181490587395701564e+00,1.327677241310490697e+00,1.000000000000000000e+00
2.169303231987155911e+00,1.629507669239613099e+00,1.000000000000000000e+00
2.221586020501785885e+00,1.816424956033606541e+00,1.000000000000000000e+00
2.201877819432712879e+00,1.335345705036713015e+00,1.000000000000000000e+00
