tm, m, likelihood
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.610138209802233433e+00,1.220710188430844667e+00,1.000000000000000000e+00
1.617217343913131211e+00,1.324289729802966775e+00,1.000000000000000000e+00
1.609496519263770242e+00,1.066344736112964098e+00,1.000000000000000000e+00
1.620094340048562787e+00,1.307794408272860753e+00,1.000000000000000000e+00
1.620094340048562787e+00,1.307794408272860753e+00,1.000000000000000000e+00
1.618794420413652180e+00,1.081981861966431424e+00,1.000000000000000000e+00
1.620021834769954872e+00,1.355330637141298089e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.611610135873752236e+00,1.328392261078586767e+00,1.000000000000000000e+00
1.617217343913131211e+00,1.324289729802966775e+00,1.000000000000000000e+00
1.617352582717751730e+00,1.198930643644081417e+00,1.000000000000000000e+00
1.624991104722830260e+00,1.051804368791419142e+00,1.000000000000000000e+00
1.611580953982022058e+00,1.285142890852090103e+00,1.000000000000000000e+00
1.621206036517456761e+00,1.302262925997795806e+00,1.000000000000000000e+00
1.615839500910704718e+00,1.326782150659806092e+00,1.000000000000000000e+00
1.617700816532448238e+00,1.165163884222198298e+00,1.000000000000000000e+00
1.622467819574021863e+00,1.336403762764050818e+00,1.000000000000000000e+00
1.616659619410505400e+00,1.077252655659493241e+00,1.000000000000000000e+00
1.615839500910704718e+00,1.326782150659806092e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.608013601540060789e+00,1.258221843281935648e+00,1.000000000000000000e+00
1.620474319835808030e+00,1.349205499049302537e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.623383114299118857e+00,1.355520381901097471e+00,1.000000000000000000e+00
1.621497572233669970e+00,1.295366319509468234e+00,1.000000000000000000e+00
1.624266224814937098e+00,1.056769559535397862e+00,1.000000000000000000e+00
1.618881701579631516e+00,1.268859021687289701e+00,1.000000000000000000e+00
1.612632318258254926e+00,1.277759219624243325e+00,1.000000000000000000e+00
1.622467819574021863e+00,1.336403762764050818e+00,1.000000000000000000e+00
1.620021834769954872e+00,1.355330637141298089e+00,1.000000000000000000e+00
1.620236956057222955e+00,1.198807357081632219e+00,1.000000000000000000e+00
1.620797115268993727e+00,1.318736979928464503e+00,1.000000000000000000e+00
1.620021834769954872e+00,1.355330637141298089e+00,1.000000000000000000e+00
1.613168649124196774e+00,1.105685367766390925e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.625814313163475244e+00,1.340548191943488732e+00,1.000000000000000000e+00
1.610138209802233433e+00,1.220710188430844667e+00,1.000000000000000000e+00
1.611610135873752236e+00,1.328392261078586767e+00,1.000000000000000000e+00
1.612436664669260056e+00,1.210819668336205357e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.622742431054916556e+00,1.306369544393572557e+00,1.000000000000000000e+00
1.620236956057222955e+00,1.198807357081632219e+00,1.000000000000000000e+00
1.613785804399207047e+00,1.199762179721164612e+00,1.000000000000000000e+00
1.608013601540060789e+00,1.258221843281935648e+00,1.000000000000000000e+00
1.621497572233669970e+00,1.295366319509468234e+00,1.000000000000000000e+00
1.617700816532448238e+00,1.165163884222198298e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.625086374126841982e+00,1.088026146502770963e+00,1.000000000000000000e+00
1.620474319835808030e+00,1.349205499049302537e+00,1.000000000000000000e+00
1.610138209802233433e+00,1.220710188430844667e+00,1.000000000000000000e+00
1.623863460123721847e+00,1.129042889294579410e+00,1.000000000000000000e+00
1.609244674977514444e+00,1.338591882550560719e+00,1.000000000000000000e+00
1.620474319835808030e+00,1.349205499049302537e+00,1.000000000000000000e+00
1.622742431054916556e+00,1.306369544393572557e+00,1.000000000000000000e+00
1.619496887932966978e+00,1.242500497380220059e+00,1.000000000000000000e+00
1.609244674977514444e+00,1.338591882550560719e+00,1.000000000000000000e+00
1.616488473576095375e+00,1.018408719106543847e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.609244674977514444e+00,1.338591882550560719e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.609244674977514444e+00,1.338591882550560719e+00,1.000000000000000000e+00
1.620021834769954872e+00,1.355330637141298089e+00,1.000000000000000000e+00
1.622742431054916556e+00,1.306369544393572557e+00,1.000000000000000000e+00
1.611610135873752236e+00,1.328392261078586767e+00,1.000000000000000000e+00
1.609244674977514444e+00,1.338591882550560719e+00,1.000000000000000000e+00
1.611610135873752236e+00,1.328392261078586767e+00,1.000000000000000000e+00
1.611610135873752236e+00,1.328392261078586767e+00,1.000000000000000000e+00
1.620021834769954872e+00,1.355330637141298089e+00,1.000000000000000000e+00
1.617352582717751730e+00,1.198930643644081417e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.620021834769954872e+00,1.355330637141298089e+00,1.000000000000000000e+00
1.610772816668464946e+00,1.282441252358844430e+00,1.000000000000000000e+00
1.613813117461559754e+00,1.041365001148668812e+00,1.000000000000000000e+00
1.620474319835808030e+00,1.349205499049302537e+00,1.000000000000000000e+00
1.615107138631823869e+00,1.166180239077329928e+00,1.000000000000000000e+00
1.620021834769954872e+00,1.355330637141298089e+00,1.000000000000000000e+00
1.620021834769954872e+00,1.355330637141298089e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.611610135873752236e+00,1.328392261078586767e+00,1.000000000000000000e+00
1.623383114299118857e+00,1.355520381901097471e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.622742431054916556e+00,1.306369544393572557e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.618881701579631516e+00,1.268859021687289701e+00,1.000000000000000000e+00
1.620094340048562787e+00,1.307794408272860753e+00,1.000000000000000000e+00
1.621800179697010513e+00,1.258869995995211877e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.612291546652985019e+00,1.195145803547784435e+00,1.000000000000000000e+00
1.610635594425601669e+00,1.228384972473298697e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.613469978308750497e+00,1.355383224936053121e+00,1.000000000000000000e+00
1.612436664669260056e+00,1.210819668336205357e+00,1.000000000000000000e+00
1.622467819574021863e+00,1.336403762764050818e+00,1.000000000000000000e+00
1.615144963760055452e+00,1.260006496435898349e+00,1.000000000000000000e+00
1.622467819574021863e+00,1.336403762764050818e+00,1.000000000000000000e+00
1.615839500910704718e+00,1.326782150659806092e+00,1.000000000000000000e+00
1.622742431054916556e+00,1.306369544393572557e+00,1.000000000000000000e+00
